SourceFile,FileName,CreateDate
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170406_074633.MP4,CEBUS-01-R1_20170406_074633.MP4,06/04/2017_07:46:33
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170407_131655.MP4,CEBUS-01-R1_20170407_131655.MP4,07/04/2017_13:16:55
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170412_130021.MP4,CEBUS-01-R1_20170412_130021.MP4,12/04/2017_13:00:21
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170414_065144.MP4,CEBUS-01-R1_20170414_065144.MP4,14/04/2017_06:51:44
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170416_070053.MP4,CEBUS-01-R1_20170416_070053.MP4,16/04/2017_07:00:53
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170416_154541.MP4,CEBUS-01-R1_20170416_154541.MP4,16/04/2017_15:45:41
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170420_101818.MP4,CEBUS-01-R1_20170420_101818.MP4,20/04/2017_10:18:18
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170420_101855.MP4,CEBUS-01-R1_20170420_101855.MP4,20/04/2017_10:18:55
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170420_101932.MP4,CEBUS-01-R1_20170420_101932.MP4,20/04/2017_10:19:32
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170420_102010.MP4,CEBUS-01-R1_20170420_102010.MP4,20/04/2017_10:20:10
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170420_102050.MP4,CEBUS-01-R1_20170420_102050.MP4,20/04/2017_10:20:50
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170420_102128.MP4,CEBUS-01-R1_20170420_102128.MP4,20/04/2017_10:21:28
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170420_102215.MP4,CEBUS-01-R1_20170420_102215.MP4,20/04/2017_10:22:15
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170420_102328.MP4,CEBUS-01-R1_20170420_102328.MP4,20/04/2017_10:23:28
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170420_102512.MP4,CEBUS-01-R1_20170420_102512.MP4,20/04/2017_10:25:12
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170420_102558.MP4,CEBUS-01-R1_20170420_102558.MP4,20/04/2017_10:25:58
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170420_102650.MP4,CEBUS-01-R1_20170420_102650.MP4,20/04/2017_10:26:50
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170420_102726.MP4,CEBUS-01-R1_20170420_102726.MP4,20/04/2017_10:27:26
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170420_102803.MP4,CEBUS-01-R1_20170420_102803.MP4,20/04/2017_10:28:03
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170420_102839.MP4,CEBUS-01-R1_20170420_102839.MP4,20/04/2017_10:28:39
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170420_102940.MP4,CEBUS-01-R1_20170420_102940.MP4,20/04/2017_10:29:40
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170420_103048.MP4,CEBUS-01-R1_20170420_103048.MP4,20/04/2017_10:30:48
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170420_103206.MP4,CEBUS-01-R1_20170420_103206.MP4,20/04/2017_10:32:06
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170420_103311.MP4,CEBUS-01-R1_20170420_103311.MP4,20/04/2017_10:33:11
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170420_103609.MP4,CEBUS-01-R1_20170420_103609.MP4,20/04/2017_10:36:09
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170420_103728.MP4,CEBUS-01-R1_20170420_103728.MP4,20/04/2017_10:37:28
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170420_103857.MP4,CEBUS-01-R1_20170420_103857.MP4,20/04/2017_10:38:57
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170420_174024.MP4,CEBUS-01-R1_20170420_174024.MP4,20/04/2017_17:40:24
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170423_111453.MP4,CEBUS-01-R1_20170423_111453.MP4,23/04/2017_11:14:53
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170423_163514.MP4,CEBUS-01-R1_20170423_163514.MP4,23/04/2017_16:35:14
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170423_163647.MP4,CEBUS-01-R1_20170423_163647.MP4,23/04/2017_16:36:47
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170423_163726.MP4,CEBUS-01-R1_20170423_163726.MP4,23/04/2017_16:37:26
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170423_163803.MP4,CEBUS-01-R1_20170423_163803.MP4,23/04/2017_16:38:03
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170423_163859.MP4,CEBUS-01-R1_20170423_163859.MP4,23/04/2017_16:38:59
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170424_103011.MP4,CEBUS-01-R1_20170424_103011.MP4,24/04/2017_10:30:11
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170427_083959.MP4,CEBUS-01-R1_20170427_083959.MP4,27/04/2017_08:39:59
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170427_170431.MP4,CEBUS-01-R1_20170427_170431.MP4,27/04/2017_17:04:31
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170430_155137.MP4,CEBUS-01-R1_20170430_155137.MP4,30/04/2017_15:51:37
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170501_165437.MP4,CEBUS-01-R1_20170501_165437.MP4,01/05/2017_16:54:37
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170502_170549.MP4,CEBUS-01-R1_20170502_170549.MP4,02/05/2017_17:05:49
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170504_174306.MP4,CEBUS-01-R1_20170504_174306.MP4,04/05/2017_17:43:06
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170504_174340.MP4,CEBUS-01-R1_20170504_174340.MP4,04/05/2017_17:43:40
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170505_145145.MP4,CEBUS-01-R1_20170505_145145.MP4,05/05/2017_14:51:45
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170505_145709.MP4,CEBUS-01-R1_20170505_145709.MP4,05/05/2017_14:57:09
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170507_172919.MP4,CEBUS-01-R1_20170507_172919.MP4,07/05/2017_17:29:19
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170508_152652.MP4,CEBUS-01-R1_20170508_152652.MP4,08/05/2017_15:26:52
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170508_171301.MP4,CEBUS-01-R1_20170508_171301.MP4,08/05/2017_17:13:01
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170508_172954.MP4,CEBUS-01-R1_20170508_172954.MP4,08/05/2017_17:29:54
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170509_064735.MP4,CEBUS-01-R1_20170509_064735.MP4,09/05/2017_06:47:35
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170509_065508.MP4,CEBUS-01-R1_20170509_065508.MP4,09/05/2017_06:55:08
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170509_070822.MP4,CEBUS-01-R1_20170509_070822.MP4,09/05/2017_07:08:22
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170509_151236.MP4,CEBUS-01-R1_20170509_151236.MP4,09/05/2017_15:12:36
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170509_180355.MP4,CEBUS-01-R1_20170509_180355.MP4,09/05/2017_18:03:55
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170513_164458.MP4,CEBUS-01-R1_20170513_164458.MP4,13/05/2017_16:44:58
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170513_175406.MP4,CEBUS-01-R1_20170513_175406.MP4,13/05/2017_17:54:06
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170515_173328.MP4,CEBUS-01-R1_20170515_173328.MP4,15/05/2017_17:33:28
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170515_173526.MP4,CEBUS-01-R1_20170515_173526.MP4,15/05/2017_17:35:26
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170515_173912.MP4,CEBUS-01-R1_20170515_173912.MP4,15/05/2017_17:39:12
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170515_180907.MP4,CEBUS-01-R1_20170515_180907.MP4,15/05/2017_18:09:07
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170516_174645.MP4,CEBUS-01-R1_20170516_174645.MP4,16/05/2017_17:46:45
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170517_170009.MP4,CEBUS-01-R1_20170517_170009.MP4,17/05/2017_17:00:09
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170519_154047.MP4,CEBUS-01-R1_20170519_154047.MP4,19/05/2017_15:40:47
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170522_135450.MP4,CEBUS-01-R1_20170522_135450.MP4,22/05/2017_13:54:50
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170522_174525.MP4,CEBUS-01-R1_20170522_174525.MP4,22/05/2017_17:45:25
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170522_174703.MP4,CEBUS-01-R1_20170522_174703.MP4,22/05/2017_17:47:03
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170523_075602.MP4,CEBUS-01-R1_20170523_075602.MP4,23/05/2017_07:56:02
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170523_092756.MP4,CEBUS-01-R1_20170523_092756.MP4,23/05/2017_09:27:56
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170523_141937.MP4,CEBUS-01-R1_20170523_141937.MP4,23/05/2017_14:19:37
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170524_065327.MP4,CEBUS-01-R1_20170524_065327.MP4,24/05/2017_06:53:27
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170524_065920.MP4,CEBUS-01-R1_20170524_065920.MP4,24/05/2017_06:59:20
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170524_070212.MP4,CEBUS-01-R1_20170524_070212.MP4,24/05/2017_07:02:12
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170524_075633.MP4,CEBUS-01-R1_20170524_075633.MP4,24/05/2017_07:56:33
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170527_130426.MP4,CEBUS-01-R1_20170527_130426.MP4,27/05/2017_13:04:26
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170527_140749.MP4,CEBUS-01-R1_20170527_140749.MP4,27/05/2017_14:07:49
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170527_140832.MP4,CEBUS-01-R1_20170527_140832.MP4,27/05/2017_14:08:32
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170527_141403.MP4,CEBUS-01-R1_20170527_141403.MP4,27/05/2017_14:14:03
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170530_083230.MP4,CEBUS-01-R1_20170530_083230.MP4,30/05/2017_08:32:30
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170530_155557.MP4,CEBUS-01-R1_20170530_155557.MP4,30/05/2017_15:55:57
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170530_160311.MP4,CEBUS-01-R1_20170530_160311.MP4,30/05/2017_16:03:11
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170530_160403.MP4,CEBUS-01-R1_20170530_160403.MP4,30/05/2017_16:04:03
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170530_160440.MP4,CEBUS-01-R1_20170530_160440.MP4,30/05/2017_16:04:40
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170530_160618.MP4,CEBUS-01-R1_20170530_160618.MP4,30/05/2017_16:06:18
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170530_160723.MP4,CEBUS-01-R1_20170530_160723.MP4,30/05/2017_16:07:23
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170530_160800.MP4,CEBUS-01-R1_20170530_160800.MP4,30/05/2017_16:08:00
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170530_161125.MP4,CEBUS-01-R1_20170530_161125.MP4,30/05/2017_16:11:25
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170531_140415.MP4,CEBUS-01-R1_20170531_140415.MP4,31/05/2017_14:04:15
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170531_140514.MP4,CEBUS-01-R1_20170531_140514.MP4,31/05/2017_14:05:14
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170531_140623.MP4,CEBUS-01-R1_20170531_140623.MP4,31/05/2017_14:06:23
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170531_141021.MP4,CEBUS-01-R1_20170531_141021.MP4,31/05/2017_14:10:21
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170531_141635.MP4,CEBUS-01-R1_20170531_141635.MP4,31/05/2017_14:16:35
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170531_141858.MP4,CEBUS-01-R1_20170531_141858.MP4,31/05/2017_14:18:58
