"","SourceFile","FileName","CreateDate","create_date_tz_panama","create_date_tz_monterrey_mx","create_date_tz_monterrey_mx_agouti","create_date_tz_berlin","create_date_tz_berlin_agouti"
"176","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-14__09-50-38.MP4","SURVEY-CEBUS-03-01-R1__2017-04-14__09-50-38.MP4","14/04/2017 09:50:38",2017-04-14 09:50:38,2017-04-14 09:50:38,"14/04/2017 09:50:38",2017-04-14 16:50:38,"14/04/2017 16:50:38"
"177","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-14__09-54-53.MP4","SURVEY-CEBUS-03-01-R1__2017-04-14__09-54-53.MP4","14/04/2017 09:54:53",2017-04-14 09:54:53,2017-04-14 09:54:53,"14/04/2017 09:54:53",2017-04-14 16:54:53,"14/04/2017 16:54:53"
"178","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-14__10-28-55.MP4","SURVEY-CEBUS-03-01-R1__2017-04-14__10-28-55.MP4","14/04/2017 10:28:55",2017-04-14 10:28:55,2017-04-14 10:28:55,"14/04/2017 10:28:55",2017-04-14 17:28:55,"14/04/2017 17:28:55"
"179","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-14__10-32-21.MP4","SURVEY-CEBUS-03-01-R1__2017-04-14__10-32-21.MP4","14/04/2017 10:32:21",2017-04-14 10:32:21,2017-04-14 10:32:21,"14/04/2017 10:32:21",2017-04-14 17:32:21,"14/04/2017 17:32:21"
"180","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-14__11-04-36.MP4","SURVEY-CEBUS-03-01-R1__2017-04-14__11-04-36.MP4","14/04/2017 11:04:36",2017-04-14 11:04:36,2017-04-14 11:04:36,"14/04/2017 11:04:36",2017-04-14 18:04:36,"14/04/2017 18:04:36"
"181","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-16__15-40-55.MP4","SURVEY-CEBUS-03-01-R1__2017-04-16__15-40-55.MP4","16/04/2017 15:40:55",2017-04-16 15:40:55,2017-04-16 15:40:55,"16/04/2017 15:40:55",2017-04-16 22:40:55,"16/04/2017 22:40:55"
"182","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-16__18-22-30.MP4","SURVEY-CEBUS-03-01-R1__2017-04-16__18-22-30.MP4","16/04/2017 18:22:30",2017-04-16 18:22:30,2017-04-16 18:22:30,"16/04/2017 18:22:30",2017-04-17 01:22:30,"17/04/2017 01:22:30"
"183","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-16__18-23-06.MP4","SURVEY-CEBUS-03-01-R1__2017-04-16__18-23-06.MP4","16/04/2017 18:23:06",2017-04-16 18:23:06,2017-04-16 18:23:06,"16/04/2017 18:23:06",2017-04-17 01:23:06,"17/04/2017 01:23:06"
"184","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-16__18-24-23.MP4","SURVEY-CEBUS-03-01-R1__2017-04-16__18-24-23.MP4","16/04/2017 18:24:23",2017-04-16 18:24:23,2017-04-16 18:24:23,"16/04/2017 18:24:23",2017-04-17 01:24:23,"17/04/2017 01:24:23"
"185","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-16__18-25-44.MP4","SURVEY-CEBUS-03-01-R1__2017-04-16__18-25-44.MP4","16/04/2017 18:25:44",2017-04-16 18:25:44,2017-04-16 18:25:44,"16/04/2017 18:25:44",2017-04-17 01:25:44,"17/04/2017 01:25:44"
"186","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-18__16-43-01.MP4","SURVEY-CEBUS-03-01-R1__2017-04-18__16-43-01.MP4","18/04/2017 16:43:01",2017-04-18 16:43:01,2017-04-18 16:43:01,"18/04/2017 16:43:01",2017-04-18 23:43:01,"18/04/2017 23:43:01"
"187","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-18__17-26-28.MP4","SURVEY-CEBUS-03-01-R1__2017-04-18__17-26-28.MP4","18/04/2017 17:26:28",2017-04-18 17:26:28,2017-04-18 17:26:28,"18/04/2017 17:26:28",2017-04-19 00:26:28,"19/04/2017 00:26:28"
"188","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-18__18-06-44.MP4","SURVEY-CEBUS-03-01-R1__2017-04-18__18-06-44.MP4","18/04/2017 18:06:44",2017-04-18 18:06:44,2017-04-18 18:06:44,"18/04/2017 18:06:44",2017-04-19 01:06:44,"19/04/2017 01:06:44"
"189","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-18__18-09-05.MP4","SURVEY-CEBUS-03-01-R1__2017-04-18__18-09-05.MP4","18/04/2017 18:09:05",2017-04-18 18:09:05,2017-04-18 18:09:05,"18/04/2017 18:09:05",2017-04-19 01:09:05,"19/04/2017 01:09:05"
"190","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-18__18-10-07.MP4","SURVEY-CEBUS-03-01-R1__2017-04-18__18-10-07.MP4","18/04/2017 18:10:07",2017-04-18 18:10:07,2017-04-18 18:10:07,"18/04/2017 18:10:07",2017-04-19 01:10:07,"19/04/2017 01:10:07"
"191","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-18__18-12-05.MP4","SURVEY-CEBUS-03-01-R1__2017-04-18__18-12-05.MP4","18/04/2017 18:12:05",2017-04-18 18:12:05,2017-04-18 18:12:05,"18/04/2017 18:12:05",2017-04-19 01:12:05,"19/04/2017 01:12:05"
"192","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-18__18-12-42.MP4","SURVEY-CEBUS-03-01-R1__2017-04-18__18-12-42.MP4","18/04/2017 18:12:42",2017-04-18 18:12:42,2017-04-18 18:12:42,"18/04/2017 18:12:42",2017-04-19 01:12:42,"19/04/2017 01:12:42"
"193","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-18__18-13-17.MP4","SURVEY-CEBUS-03-01-R1__2017-04-18__18-13-17.MP4","18/04/2017 18:13:17",2017-04-18 18:13:17,2017-04-18 18:13:17,"18/04/2017 18:13:17",2017-04-19 01:13:17,"19/04/2017 01:13:17"
"194","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-18__18-13-55.MP4","SURVEY-CEBUS-03-01-R1__2017-04-18__18-13-55.MP4","18/04/2017 18:13:55",2017-04-18 18:13:55,2017-04-18 18:13:55,"18/04/2017 18:13:55",2017-04-19 01:13:55,"19/04/2017 01:13:55"
"195","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-18__18-14-31.MP4","SURVEY-CEBUS-03-01-R1__2017-04-18__18-14-31.MP4","18/04/2017 18:14:31",2017-04-18 18:14:31,2017-04-18 18:14:31,"18/04/2017 18:14:31",2017-04-19 01:14:31,"19/04/2017 01:14:31"
"196","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-18__18-15-09.MP4","SURVEY-CEBUS-03-01-R1__2017-04-18__18-15-09.MP4","18/04/2017 18:15:09",2017-04-18 18:15:09,2017-04-18 18:15:09,"18/04/2017 18:15:09",2017-04-19 01:15:09,"19/04/2017 01:15:09"
"197","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-20__18-08-19.MP4","SURVEY-CEBUS-03-01-R1__2017-04-20__18-08-19.MP4","20/04/2017 18:08:19",2017-04-20 18:08:19,2017-04-20 18:08:19,"20/04/2017 18:08:19",2017-04-21 01:08:19,"21/04/2017 01:08:19"
"198","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-20__18-29-48.MP4","SURVEY-CEBUS-03-01-R1__2017-04-20__18-29-48.MP4","20/04/2017 18:29:48",2017-04-20 18:29:48,2017-04-20 18:29:48,"20/04/2017 18:29:48",2017-04-21 01:29:48,"21/04/2017 01:29:48"
"199","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-21__17-34-50.MP4","SURVEY-CEBUS-03-01-R1__2017-04-21__17-34-50.MP4","21/04/2017 17:34:50",2017-04-21 17:34:50,2017-04-21 17:34:50,"21/04/2017 17:34:50",2017-04-22 00:34:50,"22/04/2017 00:34:50"
"200","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-21__17-35-30.MP4","SURVEY-CEBUS-03-01-R1__2017-04-21__17-35-30.MP4","21/04/2017 17:35:30",2017-04-21 17:35:30,2017-04-21 17:35:30,"21/04/2017 17:35:30",2017-04-22 00:35:30,"22/04/2017 00:35:30"
"201","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-21__17-36-08.MP4","SURVEY-CEBUS-03-01-R1__2017-04-21__17-36-08.MP4","21/04/2017 17:36:08",2017-04-21 17:36:08,2017-04-21 17:36:08,"21/04/2017 17:36:08",2017-04-22 00:36:08,"22/04/2017 00:36:08"
