"","camera_id","longitude","latitude","distcoast","optional"
"77","J-STREAM-09",-81.8208376,7.2708619,45.2734236121849,TRUE
"78","J-STREAM-10",-81.8203392,7.2711962,109.974047234461,TRUE
"79","J-STREAM-11",-81.8205548,7.2707517,67.0968515639955,TRUE
"80","J-STREAM-12",-81.8186619,7.2682581,72.6108114743103,TRUE
"81","CEBUS-11",-81.8217171,7.271853841,28.746828376193,TRUE
"82","CEBUS-02-AUX",-81.8209159,7.2707391,31.6413300937859,TRUE
"88","NTU-55",-81.79538724,7.25355575792491,168.433831023413,TRUE
"89","NTU-69",-81.7964706,7.255055448,341.315584264772,TRUE
"90","NTU-70",-81.79575345,7.25472209975123,255.096632254,TRUE
"91","NTU-71",-81.79489137,7.254194291,150.298169159556,TRUE
"92","NTU-72",-81.79419709,7.253694562,58.8006348099508,TRUE
"93","NTU-85",-81.79602812,7.255888944,330.036558743982,TRUE
"94","NTU-86",-81.79538724,7.255499857,247.620444811221,TRUE
"95","NTU-87",-81.79460906,7.254944304,145.160374272326,TRUE
"96","NTU-88",-81.79380801,7.254499895,46.1557575070832,TRUE
"97","NTU-101",-81.79560852,7.256583218,328.808445725781,TRUE
"98","NTU-102",-81.79491425,7.25627753,248.201945960243,TRUE
"99","NTU-103",-81.79421998,7.255694401,148.144708131822,TRUE
"100","NTU-104",-81.79328154,7.255305732,41.9429902479768,TRUE
"101","NTU-117",-81.79519655,7.257333314,347.313603092751,TRUE
"102","NTU-118",-81.79450228,7.257055789,269.660439621616,TRUE
"103","NTU-119",-81.79360961,7.256499734,156.150867049491,TRUE
"104","NTU-120",-81.79280855,7.256166469,60.9803646170744,TRUE
"105","NTU-132",-81.79558564,7.258805763,469.721900299763,TRUE
"106","NTU-133",-81.79467008,7.258277871,353.786721512912,TRUE
"107","NTU-134",-81.79397581,7.257694239,253.721884236152,TRUE
"108","NTU-135",-81.79325103,7.257305654,164.433954341506,TRUE
"109","NTU-136",-81.79235844,7.256861245,60.1186845401179,TRUE
"110","NTU-151",-81.79264066,7.258055666,182.207266658294,TRUE
"111","NTU-152",-81.79191587,7.257666579,104.642061167435,TRUE
"112","NTU-153",-81.7910538,7.257166849,6.08201044925954,TRUE
"113","NTU-169",-81.79064183,7.257888783,24.1483005841248,TRUE
"114","TU-135",-81.8226985,7.2726091,24.8710197274818,TRUE
"115","TU-137",-81.82152553,7.271333188,11.6562616746471,TRUE
"116","TU-139",-81.82033539,7.269999962,23.2701860881351,TRUE
"117","TU-141",-81.81919101,7.268444533,43.7603140556628,TRUE
"118","TU-150",-81.8225861,7.274000142,79.6454688846888,TRUE
"119","TU-151",-81.82199861,7.273027925,101.329359687882,TRUE
"120","TU-152",-81.82147214,7.27244420908391,99.1737030052269,TRUE
"121","TU-153",-81.82075488,7.271524625,95.1835976805261,TRUE
"122","TU-154",-81.82038878,7.271083323,99.9867214715619,TRUE
"123","TU-155",-81.81980568,7.270256895,86.8520717588396,TRUE
"124","TU-156",-81.81905363,7.26972201839089,130.445185587655,TRUE
"125","TU-157",-81.81855775,7.269027745,133.872444019668,TRUE
"126","TU-158",-81.81800078,7.268305812,137.475514204193,TRUE
"127","TU-166",-81.82189182,7.2745275311172,131.979926669503,TRUE
"128","TU-168",-81.820755,7.273012,192.677624982563,TRUE
"129","TU-169",-81.820165,7.272392,197.232855322814,TRUE
"130","TU-170",-81.81958022,7.271731775,211.871212059838,TRUE
"131","TU-171",-81.81914451,7.270808333,181.531394104749,TRUE
"132","TU-172",-81.81847385,7.270333311,218.749615686642,TRUE
"133","TU-173",-81.81777958,7.269555554,237.392898599975,TRUE
"134","TU-182",-81.82130434,7.275055423,170.302545130379,TRUE
"135","TU-183",-81.820595,7.274363,268.369552281462,TRUE
"136","TU-184",-81.82003031,7.273637677,296.635516198067,TRUE
"137","TU-185",-81.8193373,7.27280826666666,299.540688427642,TRUE
"138","TU-186",-81.818997,7.272203,294.031392376353,TRUE
"139","TU-187",-81.81829205,7.271453062,299.577337312776,TRUE
"140","TU-188",-81.81780246,7.270750059,306.019527868723,TRUE
"141","TU-190",-81.81658172,7.269305689,328.267623539149,TRUE
