deployment_id,location_id,location_name,longitude,latitude,start,end,setup_by,camera_id,camera_model,camera_interval,camera_height,bait_use,feature_type,tags,comments
a9065953-7466-40d6-93a1-8128514d1c3a,8d03073e-cb75-4c60-b6a2-e4dcaec3b9d5,CEBUS-02,-81.82112,7.27083,2018-03-28T16:19:57,2018-07-25T09:26:16,Brendan Barrett,,,0,3434,,,Brendan Test | R4,
ac5e6534-1a36-4994-95f6-a48808aa6ebc,46e66907-46c4-492d-9a8b-5fa9b7843d1a,SURVEY-CEBUS-12-01,-81.67780,7.52983,2017-03-29T11:37:09,2017-07-25T13:22:30,Brendan Barrett,,,0,23,,,R1,
b2ae886f-466c-4575-9ccc-a04973972de5,ed40386e-168d-465f-83cb-8da7a7fd7ba4,SURVEY-CEBUS-10-01,-81.80576,7.28957,2017-03-28T17:39:28,2017-07-24T09:45:53,Claudio Manuel Monteza,,,0,343,,,R1,
b341047b-7c08-4bcf-93da-dfe0da0d7683,2263f04b-151c-4be6-ab45-d4b7fee0dde2,CEBUS-09,-81.81942,7.26827,2018-03-28T14:41:51,2018-07-25T00:00:00,Claudio Manuel Monteza,,,0,70,,,R4,
b41344e2-4d92-4238-a76b-0e961282a6f5,434c74c8-0852-4287-83fc-09e7b1303bea,CEBUS-06,-81.82039,7.26989,2018-10-19T04:26:24,2018-10-19T13:19:20,Pedro,,,0,10,,,,
b642cca1-52ae-4ad7-88a5-180268202e73,1c82daa5-acd0-4718-9bd6-df54b88f9b48,SURVEY-CEBUS-04-01,-81.80336,7.23095,2017-03-27T14:59:57,2017-07-24T20:07:00,Brendan Barrett,,,0,976,,,R1,
b88d841b-9a9f-41e4-ae4c-12f5d4ec2271,2263f04b-151c-4be6-ab45-d4b7fee0dde2,CEBUS-09,-81.81942,7.26827,2017-07-27T16:25:14,2017-12-21T00:10:50,Brendan Barrett,,,0,765,,,R2,
ce01c29c-6a99-4eef-8370-e55045f4e3b1,a297856a-9d3d-4c3e-8d71-5007b5c7be10,CEBUS-01,-81.82116,7.27079,2017-07-29T15:17:21,2017-08-07T17:25:20,Brendan Barrett,,,0,555,,,R2,
d173a083-057a-40a2-bb08-27e0957017d8,7efe2057-6ea4-4cc9-80bb-d212ef074969,SURVEY-CEBUS-03-01,-81.80273,7.22851,2004-01-01T17:40:56,2025-12-31T23:13:07,,,,0,,,,R1,
d3194e4d-c9e2-4599-9652-a5d2a36129e7,36a900a3-10ed-47b4-b488-f07c90c0a4e8,SURVEY-CEBUS-08-01,-81.82197,7.27173,2017-03-28T11:02:11,2017-07-24T09:35:37,Brendan Barrett,,,0,44,,,R1,
dadf4595-04b2-47dd-a308-75a2a237ceee,294a516a-3f27-43a3-850c-f36cc7b35f1b,CEBUS-05,-81.82039,7.26989,2018-07-27T17:01:15,2018-09-24T17:16:38,Claudio Manuel Monteza,,,0,50,,,R5,
e4ac17d0-db52-436e-a717-fab1a5f0c904,8d03073e-cb75-4c60-b6a2-e4dcaec3b9d5,CEBUS-02,-81.82112,7.27083,2018-03-28T16:19:57,2018-07-25T09:26:16,Claudio Manuel Monteza,,,0,34,,,R4 | Tamara Test,
ed1d7fc3-172c-4aa0-8397-e3283b2cc9db,8d03073e-cb75-4c60-b6a2-e4dcaec3b9d5,CEBUS-02,-81.82112,7.27083,2018-03-28T16:19:57,2018-07-25T09:26:16,Yorick Liefting,,,0,99,,,Meredith Test | R4,
