SourceFile,FileName,CreateDate
/Volumes/Coiba Image Data/renamed_data/R6/CEBUS-03-R6/CEBUS-03-R6__2019-01-05__14-01-41.MP4,CEBUS-03-R6__2019-01-05__14-01-41.MP4,05/01/2019_14:01:41
/Volumes/Coiba Image Data/renamed_data/R6/CEBUS-03-R6/CEBUS-03-R6__2019-01-05__14-04-42.MP4,CEBUS-03-R6__2019-01-05__14-04-42.MP4,05/01/2019_14:04:42
/Volumes/Coiba Image Data/renamed_data/R6/CEBUS-03-R6/CEBUS-03-R6__2019-01-05__14-05-39.MP4,CEBUS-03-R6__2019-01-05__14-05-39.MP4,05/01/2019_14:05:39
/Volumes/Coiba Image Data/renamed_data/R6/CEBUS-03-R6/CEBUS-03-R6__2019-01-05__14-12-12.MP4,CEBUS-03-R6__2019-01-05__14-12-12.MP4,05/01/2019_14:12:12
/Volumes/Coiba Image Data/renamed_data/R6/CEBUS-03-R6/CEBUS-03-R6__2019-01-05__14-37-44.MP4,CEBUS-03-R6__2019-01-05__14-37-44.MP4,05/01/2019_14:37:44
/Volumes/Coiba Image Data/renamed_data/R6/CEBUS-03-R6/CEBUS-03-R6__2019-01-05__17-44-19.MP4,CEBUS-03-R6__2019-01-05__17-44-19.MP4,05/01/2019_17:44:19
/Volumes/Coiba Image Data/renamed_data/R6/CEBUS-03-R6/CEBUS-03-R6__2019-01-06__00-00-02.MP4,CEBUS-03-R6__2019-01-06__00-00-02.MP4,06/01/2019_00:00:02
/Volumes/Coiba Image Data/renamed_data/R6/CEBUS-03-R6/CEBUS-03-R6__2019-01-06__17-11-04.MP4,CEBUS-03-R6__2019-01-06__17-11-04.MP4,06/01/2019_17:11:04
/Volumes/Coiba Image Data/renamed_data/R6/CEBUS-03-R6/CEBUS-03-R6__2019-01-07__00-00-02.MP4,CEBUS-03-R6__2019-01-07__00-00-02.MP4,07/01/2019_00:00:02
/Volumes/Coiba Image Data/renamed_data/R6/CEBUS-03-R6/CEBUS-03-R6__2019-01-07__06-45-31.MP4,CEBUS-03-R6__2019-01-07__06-45-31.MP4,07/01/2019_06:45:31
