SourceFile,FileName,CreateDate
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-07-30__07-41-32.MP4,SURVEY-CEBUS-03-03-R2__2017-07-30__07-41-32.MP4,30/07/2017_07:41:32
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-07-30__07-52-16.MP4,SURVEY-CEBUS-03-03-R2__2017-07-30__07-52-16.MP4,30/07/2017_07:52:16
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-07-30__08-03-55.MP4,SURVEY-CEBUS-03-03-R2__2017-07-30__08-03-55.MP4,30/07/2017_08:03:55
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-07-30__08-12-11.MP4,SURVEY-CEBUS-03-03-R2__2017-07-30__08-12-11.MP4,30/07/2017_08:12:11
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-07-30__08-23-13.MP4,SURVEY-CEBUS-03-03-R2__2017-07-30__08-23-13.MP4,30/07/2017_08:23:13
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-07-30__08-27-54.MP4,SURVEY-CEBUS-03-03-R2__2017-07-30__08-27-54.MP4,30/07/2017_08:27:54
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-07-30__08-36-37.MP4,SURVEY-CEBUS-03-03-R2__2017-07-30__08-36-37.MP4,30/07/2017_08:36:37
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-07-31__08-38-40.MP4,SURVEY-CEBUS-03-03-R2__2017-07-31__08-38-40.MP4,31/07/2017_08:38:40
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-07-31__08-43-52.MP4,SURVEY-CEBUS-03-03-R2__2017-07-31__08-43-52.MP4,31/07/2017_08:43:52
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-07-31__08-53-15.MP4,SURVEY-CEBUS-03-03-R2__2017-07-31__08-53-15.MP4,31/07/2017_08:53:15
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-07-31__09-37-12.MP4,SURVEY-CEBUS-03-03-R2__2017-07-31__09-37-12.MP4,31/07/2017_09:37:12
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-07-31__09-45-39.MP4,SURVEY-CEBUS-03-03-R2__2017-07-31__09-45-39.MP4,31/07/2017_09:45:39
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-07-31__10-11-10.MP4,SURVEY-CEBUS-03-03-R2__2017-07-31__10-11-10.MP4,31/07/2017_10:11:10
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-08-01__07-22-39.MP4,SURVEY-CEBUS-03-03-R2__2017-08-01__07-22-39.MP4,01/08/2017_07:22:39
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-08-01__08-00-01.MP4,SURVEY-CEBUS-03-03-R2__2017-08-01__08-00-01.MP4,01/08/2017_08:00:01
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-08-01__08-13-10.MP4,SURVEY-CEBUS-03-03-R2__2017-08-01__08-13-10.MP4,01/08/2017_08:13:10
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-08-01__08-17-26.MP4,SURVEY-CEBUS-03-03-R2__2017-08-01__08-17-26.MP4,01/08/2017_08:17:26
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-08-02__13-01-53.MP4,SURVEY-CEBUS-03-03-R2__2017-08-02__13-01-53.MP4,02/08/2017_13:01:53
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-08-02__15-48-56.MP4,SURVEY-CEBUS-03-03-R2__2017-08-02__15-48-56.MP4,02/08/2017_15:48:56
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-08-02__15-56-49.MP4,SURVEY-CEBUS-03-03-R2__2017-08-02__15-56-49.MP4,02/08/2017_15:56:49
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-08-02__15-59-51.MP4,SURVEY-CEBUS-03-03-R2__2017-08-02__15-59-51.MP4,02/08/2017_15:59:51
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-08-03__07-51-57.MP4,SURVEY-CEBUS-03-03-R2__2017-08-03__07-51-57.MP4,03/08/2017_07:51:57
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-08-03__08-07-53.MP4,SURVEY-CEBUS-03-03-R2__2017-08-03__08-07-53.MP4,03/08/2017_08:07:53
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-08-03__08-43-48.MP4,SURVEY-CEBUS-03-03-R2__2017-08-03__08-43-48.MP4,03/08/2017_08:43:48
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-08-04__06-53-54.MP4,SURVEY-CEBUS-03-03-R2__2017-08-04__06-53-54.MP4,04/08/2017_06:53:54
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-08-04__06-59-15.MP4,SURVEY-CEBUS-03-03-R2__2017-08-04__06-59-15.MP4,04/08/2017_06:59:15
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-08-04__07-57-55.MP4,SURVEY-CEBUS-03-03-R2__2017-08-04__07-57-55.MP4,04/08/2017_07:57:55
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-08-04__08-12-18.MP4,SURVEY-CEBUS-03-03-R2__2017-08-04__08-12-18.MP4,04/08/2017_08:12:18
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-08-04__08-51-02.MP4,SURVEY-CEBUS-03-03-R2__2017-08-04__08-51-02.MP4,04/08/2017_08:51:02
/Volumes/Coiba Image Data/renamed_data/R2/SURVEY-CEBUS-03-03-R2/SURVEY-CEBUS-03-03-R2__2017-08-05__08-46-01.MP4,SURVEY-CEBUS-03-03-R2__2017-08-05__08-46-01.MP4,05/08/2017_08:46:01
