SourceFile,FileName,CreateDate
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-27__14-33-12.MP4,SURVEY-CEBUS-03-01-R1__2017-03-27__14-33-12.MP4,27/03/2017_14:33:12
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-27__14-33-48.MP4,SURVEY-CEBUS-03-01-R1__2017-03-27__14-33-48.MP4,27/03/2017_14:33:48
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-27__14-34-27.MP4,SURVEY-CEBUS-03-01-R1__2017-03-27__14-34-27.MP4,27/03/2017_14:34:27
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-12-29.MP4,SURVEY-CEBUS-03-01-R1__2017-03-28__10-12-29.MP4,28/03/2017_10:12:29
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-34-05.MP4,SURVEY-CEBUS-03-01-R1__2017-03-28__10-34-05.MP4,28/03/2017_10:34:05
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-34-48.MP4,SURVEY-CEBUS-03-01-R1__2017-03-28__10-34-48.MP4,28/03/2017_10:34:48
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-35-38.MP4,SURVEY-CEBUS-03-01-R1__2017-03-28__10-35-38.MP4,28/03/2017_10:35:38
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-36-13.MP4,SURVEY-CEBUS-03-01-R1__2017-03-28__10-36-13.MP4,28/03/2017_10:36:13
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-36-51.MP4,SURVEY-CEBUS-03-01-R1__2017-03-28__10-36-51.MP4,28/03/2017_10:36:51
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-38-10.MP4,SURVEY-CEBUS-03-01-R1__2017-03-28__10-38-10.MP4,28/03/2017_10:38:10
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-38-59.MP4,SURVEY-CEBUS-03-01-R1__2017-03-28__10-38-59.MP4,28/03/2017_10:38:59
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-44-30.MP4,SURVEY-CEBUS-03-01-R1__2017-03-28__10-44-30.MP4,28/03/2017_10:44:30
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-46-05.MP4,SURVEY-CEBUS-03-01-R1__2017-03-28__10-46-05.MP4,28/03/2017_10:46:05
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-47-55.MP4,SURVEY-CEBUS-03-01-R1__2017-03-28__10-47-55.MP4,28/03/2017_10:47:55
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-55-01.MP4,SURVEY-CEBUS-03-01-R1__2017-03-28__10-55-01.MP4,28/03/2017_10:55:01
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-56-39.MP4,SURVEY-CEBUS-03-01-R1__2017-03-28__10-56-39.MP4,28/03/2017_10:56:39
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-57-17.MP4,SURVEY-CEBUS-03-01-R1__2017-03-28__10-57-17.MP4,28/03/2017_10:57:17
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-58-01.MP4,SURVEY-CEBUS-03-01-R1__2017-03-28__10-58-01.MP4,28/03/2017_10:58:01
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__11-02-38.MP4,SURVEY-CEBUS-03-01-R1__2017-03-28__11-02-38.MP4,28/03/2017_11:02:38
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__11-06-48.MP4,SURVEY-CEBUS-03-01-R1__2017-03-28__11-06-48.MP4,28/03/2017_11:06:48
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__11-08-17.MP4,SURVEY-CEBUS-03-01-R1__2017-03-28__11-08-17.MP4,28/03/2017_11:08:17
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__11-10-25.MP4,SURVEY-CEBUS-03-01-R1__2017-03-28__11-10-25.MP4,28/03/2017_11:10:25
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__11-12-49.MP4,SURVEY-CEBUS-03-01-R1__2017-03-28__11-12-49.MP4,28/03/2017_11:12:49
