SourceFile,FileName,CreateDate
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-03-27__16-31-42.MP4,SURVEY-CEBUS-06-01-R1__2017-03-27__16-31-42.MP4,27/03/2017_16:31:42
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-03-27__16-32-21.MP4,SURVEY-CEBUS-06-01-R1__2017-03-27__16-32-21.MP4,27/03/2017_16:32:21
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-03-27__16-33-03.MP4,SURVEY-CEBUS-06-01-R1__2017-03-27__16-33-03.MP4,27/03/2017_16:33:03
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-03-27__16-34-36.MP4,SURVEY-CEBUS-06-01-R1__2017-03-27__16-34-36.MP4,27/03/2017_16:34:36
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-03-28__14-27-56.MP4,SURVEY-CEBUS-06-01-R1__2017-03-28__14-27-56.MP4,28/03/2017_14:27:56
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-03-28__14-32-43.MP4,SURVEY-CEBUS-06-01-R1__2017-03-28__14-32-43.MP4,28/03/2017_14:32:43
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-03-28__14-36-17.MP4,SURVEY-CEBUS-06-01-R1__2017-03-28__14-36-17.MP4,28/03/2017_14:36:17
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-03-28__14-37-28.MP4,SURVEY-CEBUS-06-01-R1__2017-03-28__14-37-28.MP4,28/03/2017_14:37:28
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-03-28__14-38-34.MP4,SURVEY-CEBUS-06-01-R1__2017-03-28__14-38-34.MP4,28/03/2017_14:38:34
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-03-29__17-09-58.MP4,SURVEY-CEBUS-06-01-R1__2017-03-29__17-09-58.MP4,29/03/2017_17:09:58
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-03-29__17-10-42.MP4,SURVEY-CEBUS-06-01-R1__2017-03-29__17-10-42.MP4,29/03/2017_17:10:42
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-04-03__08-06-05.MP4,SURVEY-CEBUS-06-01-R1__2017-04-03__08-06-05.MP4,03/04/2017_08:06:05
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-04-03__08-08-56.MP4,SURVEY-CEBUS-06-01-R1__2017-04-03__08-08-56.MP4,03/04/2017_08:08:56
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-04-03__09-15-12.MP4,SURVEY-CEBUS-06-01-R1__2017-04-03__09-15-12.MP4,03/04/2017_09:15:12
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-04-04__17-56-40.MP4,SURVEY-CEBUS-06-01-R1__2017-04-04__17-56-40.MP4,04/04/2017_17:56:40
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-04-04__17-57-52.MP4,SURVEY-CEBUS-06-01-R1__2017-04-04__17-57-52.MP4,04/04/2017_17:57:52
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-04-04__17-59-35.MP4,SURVEY-CEBUS-06-01-R1__2017-04-04__17-59-35.MP4,04/04/2017_17:59:35
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-04-04__18-00-35.MP4,SURVEY-CEBUS-06-01-R1__2017-04-04__18-00-35.MP4,04/04/2017_18:00:35
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-04-07__06-40-07.MP4,SURVEY-CEBUS-06-01-R1__2017-04-07__06-40-07.MP4,07/04/2017_06:40:07
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-04-07__12-56-48.MP4,SURVEY-CEBUS-06-01-R1__2017-04-07__12-56-48.MP4,07/04/2017_12:56:48
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-04-07__13-27-52.MP4,SURVEY-CEBUS-06-01-R1__2017-04-07__13-27-52.MP4,07/04/2017_13:27:52
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-04-08__13-01-39.MP4,SURVEY-CEBUS-06-01-R1__2017-04-08__13-01-39.MP4,08/04/2017_13:01:39
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-04-08__13-07-18.MP4,SURVEY-CEBUS-06-01-R1__2017-04-08__13-07-18.MP4,08/04/2017_13:07:18
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-04-08__13-10-56.MP4,SURVEY-CEBUS-06-01-R1__2017-04-08__13-10-56.MP4,08/04/2017_13:10:56
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-04-08__13-12-29.MP4,SURVEY-CEBUS-06-01-R1__2017-04-08__13-12-29.MP4,08/04/2017_13:12:29
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-04-08__13-15-00.MP4,SURVEY-CEBUS-06-01-R1__2017-04-08__13-15-00.MP4,08/04/2017_13:15:00
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-04-08__13-17-39.MP4,SURVEY-CEBUS-06-01-R1__2017-04-08__13-17-39.MP4,08/04/2017_13:17:39
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-04-08__13-18-45.MP4,SURVEY-CEBUS-06-01-R1__2017-04-08__13-18-45.MP4,08/04/2017_13:18:45
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-04-08__13-20-07.MP4,SURVEY-CEBUS-06-01-R1__2017-04-08__13-20-07.MP4,08/04/2017_13:20:07
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-04-08__13-20-52.MP4,SURVEY-CEBUS-06-01-R1__2017-04-08__13-20-52.MP4,08/04/2017_13:20:52
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-04-08__13-22-46.MP4,SURVEY-CEBUS-06-01-R1__2017-04-08__13-22-46.MP4,08/04/2017_13:22:46
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-04-08__13-25-06.MP4,SURVEY-CEBUS-06-01-R1__2017-04-08__13-25-06.MP4,08/04/2017_13:25:06
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-04-08__13-28-03.MP4,SURVEY-CEBUS-06-01-R1__2017-04-08__13-28-03.MP4,08/04/2017_13:28:03
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-04-08__13-31-40.MP4,SURVEY-CEBUS-06-01-R1__2017-04-08__13-31-40.MP4,08/04/2017_13:31:40
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-04-08__13-34-46.MP4,SURVEY-CEBUS-06-01-R1__2017-04-08__13-34-46.MP4,08/04/2017_13:34:46
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-06-01-R1/SURVEY-CEBUS-06-01-R1__2017-04-10__14-09-01.MP4,SURVEY-CEBUS-06-01-R1__2017-04-10__14-09-01.MP4,10/04/2017_14:09:01
