SourceFile,FileName,CreateDate
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-01-R3/CEBUS-01-R3__2018-01-05__16-16-05.MP4,CEBUS-01-R3__2018-01-05__16-16-05.MP4,05/01/2018_16:16:05
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-01-R3/CEBUS-01-R3__2018-01-05__16-19-25.MP4,CEBUS-01-R3__2018-01-05__16-19-25.MP4,05/01/2018_16:19:25
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-01-R3/CEBUS-01-R3__2018-01-05__16-20-09.MP4,CEBUS-01-R3__2018-01-05__16-20-09.MP4,05/01/2018_16:20:09
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-01-R3/CEBUS-01-R3__2018-01-05__16-28-23.MP4,CEBUS-01-R3__2018-01-05__16-28-23.MP4,05/01/2018_16:28:23
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-01-R3/CEBUS-01-R3__2018-01-05__16-31-50.MP4,CEBUS-01-R3__2018-01-05__16-31-50.MP4,05/01/2018_16:31:50
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-01-R3/CEBUS-01-R3__2018-01-05__16-32-42.MP4,CEBUS-01-R3__2018-01-05__16-32-42.MP4,05/01/2018_16:32:42
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-01-R3/CEBUS-01-R3__2018-01-05__16-44-29.MP4,CEBUS-01-R3__2018-01-05__16-44-29.MP4,05/01/2018_16:44:29
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-01-R3/CEBUS-01-R3__2018-01-05__16-48-33.MP4,CEBUS-01-R3__2018-01-05__16-48-33.MP4,05/01/2018_16:48:33
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-01-R3/CEBUS-01-R3__2018-01-05__16-49-14.MP4,CEBUS-01-R3__2018-01-05__16-49-14.MP4,05/01/2018_16:49:14
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-01-R3/CEBUS-01-R3__2018-01-05__16-52-54.MP4,CEBUS-01-R3__2018-01-05__16-52-54.MP4,05/01/2018_16:52:54
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-01-R3/CEBUS-01-R3__2018-01-05__16-55-16.MP4,CEBUS-01-R3__2018-01-05__16-55-16.MP4,05/01/2018_16:55:16
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-01-R3/CEBUS-01-R3__2018-01-06__16-05-38.MP4,CEBUS-01-R3__2018-01-06__16-05-38.MP4,06/01/2018_16:05:38
