SourceFile,FileName,CreateDate
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-02-01-R1/SURVEY-CEBUS-02-01-R1__2017-03-26__13-29-51.MP4,SURVEY-CEBUS-02-01-R1__2017-03-26__13-29-51.MP4,26/03/2017_13:29:51
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-02-01-R1/SURVEY-CEBUS-02-01-R1__2017-03-26__13-31-00.MP4,SURVEY-CEBUS-02-01-R1__2017-03-26__13-31-00.MP4,26/03/2017_13:31:00
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-02-01-R1/SURVEY-CEBUS-02-01-R1__2017-03-28__13-15-52.MP4,SURVEY-CEBUS-02-01-R1__2017-03-28__13-15-52.MP4,28/03/2017_13:15:52
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-02-01-R1/SURVEY-CEBUS-02-01-R1__2017-03-30__07-31-38.MP4,SURVEY-CEBUS-02-01-R1__2017-03-30__07-31-38.MP4,30/03/2017_07:31:38
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-02-01-R1/SURVEY-CEBUS-02-01-R1__2017-03-30__07-32-19.MP4,SURVEY-CEBUS-02-01-R1__2017-03-30__07-32-19.MP4,30/03/2017_07:32:19
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-02-01-R1/SURVEY-CEBUS-02-01-R1__2017-03-30__10-07-46.MP4,SURVEY-CEBUS-02-01-R1__2017-03-30__10-07-46.MP4,30/03/2017_10:07:46
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-02-01-R1/SURVEY-CEBUS-02-01-R1__2017-03-31__07-20-12.MP4,SURVEY-CEBUS-02-01-R1__2017-03-31__07-20-12.MP4,31/03/2017_07:20:12
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-02-01-R1/SURVEY-CEBUS-02-01-R1__2017-04-01__10-41-08.MP4,SURVEY-CEBUS-02-01-R1__2017-04-01__10-41-08.MP4,01/04/2017_10:41:08
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-02-01-R1/SURVEY-CEBUS-02-01-R1__2017-04-01__13-01-52.MP4,SURVEY-CEBUS-02-01-R1__2017-04-01__13-01-52.MP4,01/04/2017_13:01:52
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-02-01-R1/SURVEY-CEBUS-02-01-R1__2017-04-03__14-39-43.MP4,SURVEY-CEBUS-02-01-R1__2017-04-03__14-39-43.MP4,03/04/2017_14:39:43
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-02-01-R1/SURVEY-CEBUS-02-01-R1__2017-04-04__18-28-11.MP4,SURVEY-CEBUS-02-01-R1__2017-04-04__18-28-11.MP4,04/04/2017_18:28:11
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-02-01-R1/SURVEY-CEBUS-02-01-R1__2017-04-06__13-01-42.MP4,SURVEY-CEBUS-02-01-R1__2017-04-06__13-01-42.MP4,06/04/2017_13:01:42
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-02-01-R1/SURVEY-CEBUS-02-01-R1__2017-04-09__17-31-54.MP4,SURVEY-CEBUS-02-01-R1__2017-04-09__17-31-54.MP4,09/04/2017_17:31:54
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-02-01-R1/SURVEY-CEBUS-02-01-R1__2017-04-09__17-33-06.MP4,SURVEY-CEBUS-02-01-R1__2017-04-09__17-33-06.MP4,09/04/2017_17:33:06
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-02-01-R1/SURVEY-CEBUS-02-01-R1__2017-04-09__17-33-47.MP4,SURVEY-CEBUS-02-01-R1__2017-04-09__17-33-47.MP4,09/04/2017_17:33:47
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-02-01-R1/SURVEY-CEBUS-02-01-R1__2017-04-10__10-29-16.MP4,SURVEY-CEBUS-02-01-R1__2017-04-10__10-29-16.MP4,10/04/2017_10:29:16
/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-02-01-R1/SURVEY-CEBUS-02-01-R1__2017-04-11__06-21-32.MP4,SURVEY-CEBUS-02-01-R1__2017-04-11__06-21-32.MP4,11/04/2017_06:21:32
