SourceFile,FileName,CreateDate
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-05__16-53-16.MP4,SURVEY-CEBUS-07-03-R3__2018-01-05__16-53-16.MP4,05/01/2018_16:53:16
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-05__16-53-51.MP4,SURVEY-CEBUS-07-03-R3__2018-01-05__16-53-51.MP4,05/01/2018_16:53:51
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-05__16-54-31.MP4,SURVEY-CEBUS-07-03-R3__2018-01-05__16-54-31.MP4,05/01/2018_16:54:31
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-05__16-55-44.MP4,SURVEY-CEBUS-07-03-R3__2018-01-05__16-55-44.MP4,05/01/2018_16:55:44
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-05__19-48-27.MP4,SURVEY-CEBUS-07-03-R3__2018-01-05__19-48-27.MP4,05/01/2018_19:48:27
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-06__08-38-36.MP4,SURVEY-CEBUS-07-03-R3__2018-01-06__08-38-36.MP4,06/01/2018_08:38:36
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-06__16-07-05.MP4,SURVEY-CEBUS-07-03-R3__2018-01-06__16-07-05.MP4,06/01/2018_16:07:05
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-06__16-15-29.MP4,SURVEY-CEBUS-07-03-R3__2018-01-06__16-15-29.MP4,06/01/2018_16:15:29
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-06__16-40-35.MP4,SURVEY-CEBUS-07-03-R3__2018-01-06__16-40-35.MP4,06/01/2018_16:40:35
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-07__06-45-21.MP4,SURVEY-CEBUS-07-03-R3__2018-01-07__06-45-21.MP4,07/01/2018_06:45:21
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-07__06-45-59.MP4,SURVEY-CEBUS-07-03-R3__2018-01-07__06-45-59.MP4,07/01/2018_06:45:59
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-07__06-46-43.MP4,SURVEY-CEBUS-07-03-R3__2018-01-07__06-46-43.MP4,07/01/2018_06:46:43
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-07__06-47-24.MP4,SURVEY-CEBUS-07-03-R3__2018-01-07__06-47-24.MP4,07/01/2018_06:47:24
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-07__14-38-48.MP4,SURVEY-CEBUS-07-03-R3__2018-01-07__14-38-48.MP4,07/01/2018_14:38:48
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-07__14-48-40.MP4,SURVEY-CEBUS-07-03-R3__2018-01-07__14-48-40.MP4,07/01/2018_14:48:40
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-07__15-11-27.MP4,SURVEY-CEBUS-07-03-R3__2018-01-07__15-11-27.MP4,07/01/2018_15:11:27
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-07__17-43-23.MP4,SURVEY-CEBUS-07-03-R3__2018-01-07__17-43-23.MP4,07/01/2018_17:43:23
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-07__17-44-10.MP4,SURVEY-CEBUS-07-03-R3__2018-01-07__17-44-10.MP4,07/01/2018_17:44:10
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-07__17-51-36.MP4,SURVEY-CEBUS-07-03-R3__2018-01-07__17-51-36.MP4,07/01/2018_17:51:36
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-07__17-52-54.MP4,SURVEY-CEBUS-07-03-R3__2018-01-07__17-52-54.MP4,07/01/2018_17:52:54
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-07__18-02-59.MP4,SURVEY-CEBUS-07-03-R3__2018-01-07__18-02-59.MP4,07/01/2018_18:02:59
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-07__18-06-35.MP4,SURVEY-CEBUS-07-03-R3__2018-01-07__18-06-35.MP4,07/01/2018_18:06:35
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-07__18-24-05.MP4,SURVEY-CEBUS-07-03-R3__2018-01-07__18-24-05.MP4,07/01/2018_18:24:05
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-07__18-24-59.MP4,SURVEY-CEBUS-07-03-R3__2018-01-07__18-24-59.MP4,07/01/2018_18:24:59
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-07__18-26-22.MP4,SURVEY-CEBUS-07-03-R3__2018-01-07__18-26-22.MP4,07/01/2018_18:26:22
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-07__18-27-02.MP4,SURVEY-CEBUS-07-03-R3__2018-01-07__18-27-02.MP4,07/01/2018_18:27:02
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-07__18-27-54.MP4,SURVEY-CEBUS-07-03-R3__2018-01-07__18-27-54.MP4,07/01/2018_18:27:54
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-07__18-28-43.MP4,SURVEY-CEBUS-07-03-R3__2018-01-07__18-28-43.MP4,07/01/2018_18:28:43
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-07__18-29-24.MP4,SURVEY-CEBUS-07-03-R3__2018-01-07__18-29-24.MP4,07/01/2018_18:29:24
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-07__18-31-35.MP4,SURVEY-CEBUS-07-03-R3__2018-01-07__18-31-35.MP4,07/01/2018_18:31:35
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-07__18-35-39.MP4,SURVEY-CEBUS-07-03-R3__2018-01-07__18-35-39.MP4,07/01/2018_18:35:39
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-07__18-50-28.MP4,SURVEY-CEBUS-07-03-R3__2018-01-07__18-50-28.MP4,07/01/2018_18:50:28
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-09__07-42-31.MP4,SURVEY-CEBUS-07-03-R3__2018-01-09__07-42-31.MP4,09/01/2018_07:42:31
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-09__17-31-43.MP4,SURVEY-CEBUS-07-03-R3__2018-01-09__17-31-43.MP4,09/01/2018_17:31:43
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-09__17-33-03.MP4,SURVEY-CEBUS-07-03-R3__2018-01-09__17-33-03.MP4,09/01/2018_17:33:03
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-09__18-04-06.MP4,SURVEY-CEBUS-07-03-R3__2018-01-09__18-04-06.MP4,09/01/2018_18:04:06
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-09__18-05-07.MP4,SURVEY-CEBUS-07-03-R3__2018-01-09__18-05-07.MP4,09/01/2018_18:05:07
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-10__07-02-37.MP4,SURVEY-CEBUS-07-03-R3__2018-01-10__07-02-37.MP4,10/01/2018_07:02:37
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-10__07-13-05.MP4,SURVEY-CEBUS-07-03-R3__2018-01-10__07-13-05.MP4,10/01/2018_07:13:05
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-10__15-46-33.MP4,SURVEY-CEBUS-07-03-R3__2018-01-10__15-46-33.MP4,10/01/2018_15:46:33
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-11__16-49-34.MP4,SURVEY-CEBUS-07-03-R3__2018-01-11__16-49-34.MP4,11/01/2018_16:49:34
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-11__17-02-55.MP4,SURVEY-CEBUS-07-03-R3__2018-01-11__17-02-55.MP4,11/01/2018_17:02:55
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-11__17-04-22.MP4,SURVEY-CEBUS-07-03-R3__2018-01-11__17-04-22.MP4,11/01/2018_17:04:22
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-11__17-11-00.MP4,SURVEY-CEBUS-07-03-R3__2018-01-11__17-11-00.MP4,11/01/2018_17:11:00
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-11__17-27-36.MP4,SURVEY-CEBUS-07-03-R3__2018-01-11__17-27-36.MP4,11/01/2018_17:27:36
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-11__17-30-50.MP4,SURVEY-CEBUS-07-03-R3__2018-01-11__17-30-50.MP4,11/01/2018_17:30:50
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-11__17-36-03.MP4,SURVEY-CEBUS-07-03-R3__2018-01-11__17-36-03.MP4,11/01/2018_17:36:03
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-11__17-40-51.MP4,SURVEY-CEBUS-07-03-R3__2018-01-11__17-40-51.MP4,11/01/2018_17:40:51
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-11__17-58-02.MP4,SURVEY-CEBUS-07-03-R3__2018-01-11__17-58-02.MP4,11/01/2018_17:58:02
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-12__16-17-09.MP4,SURVEY-CEBUS-07-03-R3__2018-01-12__16-17-09.MP4,12/01/2018_16:17:09
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-12__16-22-37.MP4,SURVEY-CEBUS-07-03-R3__2018-01-12__16-22-37.MP4,12/01/2018_16:22:37
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-12__16-27-35.MP4,SURVEY-CEBUS-07-03-R3__2018-01-12__16-27-35.MP4,12/01/2018_16:27:35
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-12__16-31-38.MP4,SURVEY-CEBUS-07-03-R3__2018-01-12__16-31-38.MP4,12/01/2018_16:31:38
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-12__16-33-34.MP4,SURVEY-CEBUS-07-03-R3__2018-01-12__16-33-34.MP4,12/01/2018_16:33:34
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-12__16-34-39.MP4,SURVEY-CEBUS-07-03-R3__2018-01-12__16-34-39.MP4,12/01/2018_16:34:39
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-13__08-31-13.MP4,SURVEY-CEBUS-07-03-R3__2018-01-13__08-31-13.MP4,13/01/2018_08:31:13
/Volumes/Coiba Image Data/renamed_data/R3/SURVEY-CEBUS-07-03-R3/SURVEY-CEBUS-07-03-R3__2018-01-13__09-36-43.MP4,SURVEY-CEBUS-07-03-R3__2018-01-13__09-36-43.MP4,13/01/2018_09:36:43
