SourceFile,FileName,CreateDate
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-03-28__15-52-19.MP4,CEBUS-06-R4__2018-03-28__15-52-19.MP4,28/03/2018_15:52:19
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-03-28__15-53-00.MP4,CEBUS-06-R4__2018-03-28__15-53-00.MP4,28/03/2018_15:53:00
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-03-28__15-56-40.MP4,CEBUS-06-R4__2018-03-28__15-56-40.MP4,28/03/2018_15:56:40
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-03-28__15-57-17.MP4,CEBUS-06-R4__2018-03-28__15-57-17.MP4,28/03/2018_15:57:17
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-03-28__15-57-56.MP4,CEBUS-06-R4__2018-03-28__15-57-56.MP4,28/03/2018_15:57:56
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-01__10-13-13.MP4,CEBUS-06-R4__2018-04-01__10-13-13.MP4,01/04/2018_10:13:13
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-10__16-44-24.MP4,CEBUS-06-R4__2018-04-10__16-44-24.MP4,10/04/2018_16:44:24
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-10__16-45-03.MP4,CEBUS-06-R4__2018-04-10__16-45-03.MP4,10/04/2018_16:45:03
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-10__16-45-44.MP4,CEBUS-06-R4__2018-04-10__16-45-44.MP4,10/04/2018_16:45:44
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-10__16-47-00.MP4,CEBUS-06-R4__2018-04-10__16-47-00.MP4,10/04/2018_16:47:00
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-10__16-47-36.MP4,CEBUS-06-R4__2018-04-10__16-47-36.MP4,10/04/2018_16:47:36
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-10__16-48-17.MP4,CEBUS-06-R4__2018-04-10__16-48-17.MP4,10/04/2018_16:48:17
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-10__16-49-46.MP4,CEBUS-06-R4__2018-04-10__16-49-46.MP4,10/04/2018_16:49:46
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-10__16-50-23.MP4,CEBUS-06-R4__2018-04-10__16-50-23.MP4,10/04/2018_16:50:23
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-10__16-50-58.MP4,CEBUS-06-R4__2018-04-10__16-50-58.MP4,10/04/2018_16:50:58
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-10__16-51-35.MP4,CEBUS-06-R4__2018-04-10__16-51-35.MP4,10/04/2018_16:51:35
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-10__16-52-12.MP4,CEBUS-06-R4__2018-04-10__16-52-12.MP4,10/04/2018_16:52:12
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-10__16-52-50.MP4,CEBUS-06-R4__2018-04-10__16-52-50.MP4,10/04/2018_16:52:50
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-10__16-53-56.MP4,CEBUS-06-R4__2018-04-10__16-53-56.MP4,10/04/2018_16:53:56
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-10__16-56-01.MP4,CEBUS-06-R4__2018-04-10__16-56-01.MP4,10/04/2018_16:56:01
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-10__16-56-38.MP4,CEBUS-06-R4__2018-04-10__16-56-38.MP4,10/04/2018_16:56:38
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-10__16-57-40.MP4,CEBUS-06-R4__2018-04-10__16-57-40.MP4,10/04/2018_16:57:40
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-10__16-58-40.MP4,CEBUS-06-R4__2018-04-10__16-58-40.MP4,10/04/2018_16:58:40
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-10__17-00-39.MP4,CEBUS-06-R4__2018-04-10__17-00-39.MP4,10/04/2018_17:00:39
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-10__17-01-29.MP4,CEBUS-06-R4__2018-04-10__17-01-29.MP4,10/04/2018_17:01:29
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-10__17-02-09.MP4,CEBUS-06-R4__2018-04-10__17-02-09.MP4,10/04/2018_17:02:09
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-10__17-03-26.MP4,CEBUS-06-R4__2018-04-10__17-03-26.MP4,10/04/2018_17:03:26
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-10__17-12-29.MP4,CEBUS-06-R4__2018-04-10__17-12-29.MP4,10/04/2018_17:12:29
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-13__13-07-02.MP4,CEBUS-06-R4__2018-04-13__13-07-02.MP4,13/04/2018_13:07:02
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-13__13-08-27.MP4,CEBUS-06-R4__2018-04-13__13-08-27.MP4,13/04/2018_13:08:27
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-13__13-09-04.MP4,CEBUS-06-R4__2018-04-13__13-09-04.MP4,13/04/2018_13:09:04
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-13__13-09-48.MP4,CEBUS-06-R4__2018-04-13__13-09-48.MP4,13/04/2018_13:09:48
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-13__13-10-27.MP4,CEBUS-06-R4__2018-04-13__13-10-27.MP4,13/04/2018_13:10:27
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-13__13-11-03.MP4,CEBUS-06-R4__2018-04-13__13-11-03.MP4,13/04/2018_13:11:03
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-13__13-11-40.MP4,CEBUS-06-R4__2018-04-13__13-11-40.MP4,13/04/2018_13:11:40
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-13__13-12-17.MP4,CEBUS-06-R4__2018-04-13__13-12-17.MP4,13/04/2018_13:12:17
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-13__13-12-55.MP4,CEBUS-06-R4__2018-04-13__13-12-55.MP4,13/04/2018_13:12:55
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-13__13-13-31.MP4,CEBUS-06-R4__2018-04-13__13-13-31.MP4,13/04/2018_13:13:31
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-13__13-14-08.MP4,CEBUS-06-R4__2018-04-13__13-14-08.MP4,13/04/2018_13:14:08
/Volumes/Coiba Image Data/renamed_data/R4/CEBUS-06-R4/CEBUS-06-R4__2018-04-13__13-14-52.MP4,CEBUS-06-R4__2018-04-13__13-14-52.MP4,13/04/2018_13:14:52
