SourceFile,FileName,CreateDate
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-02__07-10-35.MP4,CEBUS-08-R5__2018-08-02__07-10-35.MP4,02/08/2018_07:10:35
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-02__07-11-16.MP4,CEBUS-08-R5__2018-08-02__07-11-16.MP4,02/08/2018_07:11:16
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-03__14-53-09.MP4,CEBUS-08-R5__2018-08-03__14-53-09.MP4,03/08/2018_14:53:09
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-03__14-54-26.MP4,CEBUS-08-R5__2018-08-03__14-54-26.MP4,03/08/2018_14:54:26
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-03__16-14-55.MP4,CEBUS-08-R5__2018-08-03__16-14-55.MP4,03/08/2018_16:14:55
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-04__15-30-32.MP4,CEBUS-08-R5__2018-08-04__15-30-32.MP4,04/08/2018_15:30:32
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-04__15-31-50.MP4,CEBUS-08-R5__2018-08-04__15-31-50.MP4,04/08/2018_15:31:50
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-04__15-32-48.MP4,CEBUS-08-R5__2018-08-04__15-32-48.MP4,04/08/2018_15:32:48
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-05__11-28-42.MP4,CEBUS-08-R5__2018-08-05__11-28-42.MP4,05/08/2018_11:28:42
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-05__12-46-25.MP4,CEBUS-08-R5__2018-08-05__12-46-25.MP4,05/08/2018_12:46:25
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-05__12-47-02.MP4,CEBUS-08-R5__2018-08-05__12-47-02.MP4,05/08/2018_12:47:02
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-05__12-59-35.MP4,CEBUS-08-R5__2018-08-05__12-59-35.MP4,05/08/2018_12:59:35
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-05__13-02-10.MP4,CEBUS-08-R5__2018-08-05__13-02-10.MP4,05/08/2018_13:02:10
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-05__17-16-44.MP4,CEBUS-08-R5__2018-08-05__17-16-44.MP4,05/08/2018_17:16:44
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-08__03-30-01.MP4,CEBUS-08-R5__2018-08-08__03-30-01.MP4,08/08/2018_03:30:01
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-08__15-35-14.MP4,CEBUS-08-R5__2018-08-08__15-35-14.MP4,08/08/2018_15:35:14
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-08__15-48-30.MP4,CEBUS-08-R5__2018-08-08__15-48-30.MP4,08/08/2018_15:48:30
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-08__15-57-28.MP4,CEBUS-08-R5__2018-08-08__15-57-28.MP4,08/08/2018_15:57:28
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-08__16-00-46.MP4,CEBUS-08-R5__2018-08-08__16-00-46.MP4,08/08/2018_16:00:46
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-08__16-04-58.MP4,CEBUS-08-R5__2018-08-08__16-04-58.MP4,08/08/2018_16:04:58
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-08__16-06-09.MP4,CEBUS-08-R5__2018-08-08__16-06-09.MP4,08/08/2018_16:06:09
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-08__16-07-50.MP4,CEBUS-08-R5__2018-08-08__16-07-50.MP4,08/08/2018_16:07:50
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-10__15-22-49.MP4,CEBUS-08-R5__2018-08-10__15-22-49.MP4,10/08/2018_15:22:49
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-12__12-52-42.MP4,CEBUS-08-R5__2018-08-12__12-52-42.MP4,12/08/2018_12:52:42
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-12__16-31-39.MP4,CEBUS-08-R5__2018-08-12__16-31-39.MP4,12/08/2018_16:31:39
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-12__16-32-16.MP4,CEBUS-08-R5__2018-08-12__16-32-16.MP4,12/08/2018_16:32:16
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-12__16-33-39.MP4,CEBUS-08-R5__2018-08-12__16-33-39.MP4,12/08/2018_16:33:39
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-12__16-34-20.MP4,CEBUS-08-R5__2018-08-12__16-34-20.MP4,12/08/2018_16:34:20
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-12__16-42-05.MP4,CEBUS-08-R5__2018-08-12__16-42-05.MP4,12/08/2018_16:42:05
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-12__16-42-45.MP4,CEBUS-08-R5__2018-08-12__16-42-45.MP4,12/08/2018_16:42:45
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-12__16-44-10.MP4,CEBUS-08-R5__2018-08-12__16-44-10.MP4,12/08/2018_16:44:10
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-12__16-44-47.MP4,CEBUS-08-R5__2018-08-12__16-44-47.MP4,12/08/2018_16:44:47
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-14__14-16-56.MP4,CEBUS-08-R5__2018-08-14__14-16-56.MP4,14/08/2018_14:16:56
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-14__14-20-42.MP4,CEBUS-08-R5__2018-08-14__14-20-42.MP4,14/08/2018_14:20:42
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-14__14-35-02.MP4,CEBUS-08-R5__2018-08-14__14-35-02.MP4,14/08/2018_14:35:02
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-14__14-49-51.MP4,CEBUS-08-R5__2018-08-14__14-49-51.MP4,14/08/2018_14:49:51
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-15__16-04-48.MP4,CEBUS-08-R5__2018-08-15__16-04-48.MP4,15/08/2018_16:04:48
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-15__16-07-15.MP4,CEBUS-08-R5__2018-08-15__16-07-15.MP4,15/08/2018_16:07:15
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-15__16-08-28.MP4,CEBUS-08-R5__2018-08-15__16-08-28.MP4,15/08/2018_16:08:28
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-15__16-09-42.MP4,CEBUS-08-R5__2018-08-15__16-09-42.MP4,15/08/2018_16:09:42
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-15__16-15-00.MP4,CEBUS-08-R5__2018-08-15__16-15-00.MP4,15/08/2018_16:15:00
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-15__16-17-04.MP4,CEBUS-08-R5__2018-08-15__16-17-04.MP4,15/08/2018_16:17:04
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-15__16-18-55.MP4,CEBUS-08-R5__2018-08-15__16-18-55.MP4,15/08/2018_16:18:55
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-15__16-21-38.MP4,CEBUS-08-R5__2018-08-15__16-21-38.MP4,15/08/2018_16:21:38
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-15__16-22-47.MP4,CEBUS-08-R5__2018-08-15__16-22-47.MP4,15/08/2018_16:22:47
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-15__16-23-44.MP4,CEBUS-08-R5__2018-08-15__16-23-44.MP4,15/08/2018_16:23:44
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-15__16-35-54.MP4,CEBUS-08-R5__2018-08-15__16-35-54.MP4,15/08/2018_16:35:54
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-16__11-57-55.MP4,CEBUS-08-R5__2018-08-16__11-57-55.MP4,16/08/2018_11:57:55
