SourceFile,FileName,CreateDate
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-08-R3/CEBUS-08-R3__2018-01-05__13-54-07.MP4,CEBUS-08-R3__2018-01-05__13-54-07.MP4,05/01/2018_13:54:07
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-08-R3/CEBUS-08-R3__2018-01-05__13-55-06.MP4,CEBUS-08-R3__2018-01-05__13-55-06.MP4,05/01/2018_13:55:06
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-08-R3/CEBUS-08-R3__2018-01-05__13-55-48.MP4,CEBUS-08-R3__2018-01-05__13-55-48.MP4,05/01/2018_13:55:48
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-08-R3/CEBUS-08-R3__2018-01-05__13-56-38.MP4,CEBUS-08-R3__2018-01-05__13-56-38.MP4,05/01/2018_13:56:38
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-08-R3/CEBUS-08-R3__2018-01-05__13-57-29.MP4,CEBUS-08-R3__2018-01-05__13-57-29.MP4,05/01/2018_13:57:29
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-08-R3/CEBUS-08-R3__2018-01-05__13-58-31.MP4,CEBUS-08-R3__2018-01-05__13-58-31.MP4,05/01/2018_13:58:31
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-08-R3/CEBUS-08-R3__2018-01-05__13-59-12.MP4,CEBUS-08-R3__2018-01-05__13-59-12.MP4,05/01/2018_13:59:12
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-08-R3/CEBUS-08-R3__2018-01-05__14-14-21.MP4,CEBUS-08-R3__2018-01-05__14-14-21.MP4,05/01/2018_14:14:21
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-08-R3/CEBUS-08-R3__2018-01-05__14-19-40.MP4,CEBUS-08-R3__2018-01-05__14-19-40.MP4,05/01/2018_14:19:40
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-08-R3/CEBUS-08-R3__2018-01-06__09-09-14.MP4,CEBUS-08-R3__2018-01-06__09-09-14.MP4,06/01/2018_09:09:14
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-08-R3/CEBUS-08-R3__2018-01-06__17-27-37.MP4,CEBUS-08-R3__2018-01-06__17-27-37.MP4,06/01/2018_17:27:37
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-08-R3/CEBUS-08-R3__2018-01-07__06-56-31.MP4,CEBUS-08-R3__2018-01-07__06-56-31.MP4,07/01/2018_06:56:31
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-08-R3/CEBUS-08-R3__2018-01-07__11-07-11.MP4,CEBUS-08-R3__2018-01-07__11-07-11.MP4,07/01/2018_11:07:11
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-08-R3/CEBUS-08-R3__2018-01-07__11-10-26.MP4,CEBUS-08-R3__2018-01-07__11-10-26.MP4,07/01/2018_11:10:26
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-08-R3/CEBUS-08-R3__2018-01-07__11-11-32.MP4,CEBUS-08-R3__2018-01-07__11-11-32.MP4,07/01/2018_11:11:32
/Volumes/Coiba Image Data/renamed_data/R3/CEBUS-08-R3/CEBUS-08-R3__2018-01-07__14-31-25.MP4,CEBUS-08-R3__2018-01-07__14-31-25.MP4,07/01/2018_14:31:25
