"sequenceid","deploymentid","samplingpoint","projectname","organisationname","isblank","issetuppickup","isunknown","sequencestart","sequenceend","countassets","link"
"1032bd09-130a-43eb-8e23-4039f840fe0a","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:04:20 14:33:21""","""2018:04:20 14:33:47""","30","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/1032bd09-130a-43eb-8e23-4039f840fe0a"
"202f62f9-91f6-47e4-a428-afef40627b84","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:04:19 12:52:01""","""2018:04:19 12:52:20""","30","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/202f62f9-91f6-47e4-a428-afef40627b84"
"452037c7-3dfa-44b6-af78-bd45ffb04c65","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:04:13 13:03:38""","""2018:04:13 13:04:09""","20","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/452037c7-3dfa-44b6-af78-bd45ffb04c65"
"753eee6b-cceb-4e8f-876d-556fd469eb6a","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:04:21 11:32:55""","""2018:04:21 11:33:40""","30","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/753eee6b-cceb-4e8f-876d-556fd469eb6a"
"c6888949-a3da-47b0-8e00-b751477edad6","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:07:03 09:33:23""","""2018:07:03 09:33:52""","30","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/c6888949-a3da-47b0-8e00-b751477edad6"
"921c8c10-a2a6-473e-b4f8-0b6bb2fe57e8","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:07:12 17:56:25""","""2018:07:12 17:57:03""","20","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/921c8c10-a2a6-473e-b4f8-0b6bb2fe57e8"
"7d8c90da-1240-45b8-bf7c-06a124f26eac","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:07:02 16:38:20""","""2018:07:02 16:38:34""","20","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/7d8c90da-1240-45b8-bf7c-06a124f26eac"
"0b558e27-322e-4bed-bee8-701ad0aaa5ed","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:06:24 13:05:52""","""2018:06:24 13:06:19""","30","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/0b558e27-322e-4bed-bee8-701ad0aaa5ed"
"6c081671-e0bb-460f-80cc-bef6a52d1924","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:07:06 17:20:24""","""2018:07:06 17:21:15""","30","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/6c081671-e0bb-460f-80cc-bef6a52d1924"
"ab31f843-8ddb-4d7c-af43-b28c19c552ed","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:05:05 13:32:41""","""2018:05:05 13:33:11""","30","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/ab31f843-8ddb-4d7c-af43-b28c19c552ed"
