"observation_id","scientificName","nameNl","nameEn","amount","individual","observation_notes","behaviours","age","sex","domesticated","observer","sequence_id","sequence_start","originalFilename","isSetupPickup","isBlank","isTimeLapse","isUnknown","deployment_id","startDate","endDate","notes","project","project_name","organisation_name","deployment_tags","location_label","lat","lng","link"
"51542624-fbd8-4eb6-83ec-d45dd78350bc","Cebus imitator",,"Panamanian White-faced Capuchin","1.0",,,"{dba9077d-34e3-4af2-acc6-1527fde197b1,d30c9beb-bb50-4c9e-ab2d-25537e8e3422}",,,"false","Sylvia Garza","2ba80345-151f-4488-9c00-ebd4ce60cb55","""2017:05:25 12:54:35""","SURVEY-CEBUS-05-01-R1__2017-05-25__12-54-35(1).JPG",,,"false",,"62122df6-0753-48b0-a9fc-ecdf1fd2ab4c","2017-03-25 09:22:57","2017-07-24 09:37:09",,"0e0508af-d3dc-4be6-9806-dbdba5ec3368","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior","{45278b31-75c5-4bdd-a995-cbcd8b9b2708}","SURVEY-CEBUS-05-01","7.28969198651612","-81.8054107390344","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/2ba80345-151f-4488-9c00-ebd4ce60cb55"
"647910c0-aed0-4372-bb30-c40719da3f17","Cebus imitator",,"Panamanian White-faced Capuchin","1.0",,,"{c70786e0-c28c-4817-a1f3-9259be1134d1,d30c9beb-bb50-4c9e-ab2d-25537e8e3422}",,,"false","Sylvia Garza","2ba80345-151f-4488-9c00-ebd4ce60cb55","""2017:05:25 12:54:35""","SURVEY-CEBUS-05-01-R1__2017-05-25__12-54-35(1).JPG",,,"false",,"62122df6-0753-48b0-a9fc-ecdf1fd2ab4c","2017-03-25 09:22:57","2017-07-24 09:37:09",,"0e0508af-d3dc-4be6-9806-dbdba5ec3368","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior","{45278b31-75c5-4bdd-a995-cbcd8b9b2708}","SURVEY-CEBUS-05-01","7.28969198651612","-81.8054107390344","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/2ba80345-151f-4488-9c00-ebd4ce60cb55"
"2f8ee801-e88e-4ae9-ae30-919fb8db2ee5","Cebus imitator",,"Panamanian White-faced Capuchin","1.0",,"AGE:JUVENILE?","{dba9077d-34e3-4af2-acc6-1527fde197b1,d30c9beb-bb50-4c9e-ab2d-25537e8e3422}",,,"false","Sylvia Garza","df15e42e-9303-4392-8b68-87ba2b8655cf","""2017:05:25 12:57:20""","SURVEY-CEBUS-05-01-R1__2017-05-25__12-57-20(1).JPG",,,"false",,"62122df6-0753-48b0-a9fc-ecdf1fd2ab4c","2017-03-25 09:22:57","2017-07-24 09:37:09",,"0e0508af-d3dc-4be6-9806-dbdba5ec3368","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior","{45278b31-75c5-4bdd-a995-cbcd8b9b2708}","SURVEY-CEBUS-05-01","7.28969198651612","-81.8054107390344","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/df15e42e-9303-4392-8b68-87ba2b8655cf"
"bc9fdd07-c82d-4375-9a43-568be35da14a","Cebus imitator",,"Panamanian White-faced Capuchin","1.0",,,"{d30c9beb-bb50-4c9e-ab2d-25537e8e3422,dba9077d-34e3-4af2-acc6-1527fde197b1}",,,"false","Zoë Goldsborough","12941c8b-51e1-4683-a95a-5e3fa123d1e9","""2017:05:08 17:21:53""","CEBUS-02-R1__2017-05-08__17-21-53(45).JPG",,,"false",,"3b6d952c-52f7-43b0-a72b-5876e1d2ddab","2017-03-28 10:29:28","2017-06-05 11:33:23",,"0e0508af-d3dc-4be6-9806-dbdba5ec3368","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior","{45278b31-75c5-4bdd-a995-cbcd8b9b2708}","CEBUS-02","7.27083","-81.82112","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/12941c8b-51e1-4683-a95a-5e3fa123d1e9"
"ca6f6abe-acb5-4761-a752-9978615ef0b4","Cebus imitator",,"Panamanian White-faced Capuchin","1.0",,,"{dba9077d-34e3-4af2-acc6-1527fde197b1,d30c9beb-bb50-4c9e-ab2d-25537e8e3422}",,,"false","Zoë Goldsborough","12941c8b-51e1-4683-a95a-5e3fa123d1e9","""2017:05:08 17:21:53""","CEBUS-02-R1__2017-05-08__17-21-53(45).JPG",,,"false",,"3b6d952c-52f7-43b0-a72b-5876e1d2ddab","2017-03-28 10:29:28","2017-06-05 11:33:23",,"0e0508af-d3dc-4be6-9806-dbdba5ec3368","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior","{45278b31-75c5-4bdd-a995-cbcd8b9b2708}","CEBUS-02","7.27083","-81.82112","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/12941c8b-51e1-4683-a95a-5e3fa123d1e9"
"80270499-14c7-41e4-88fc-f97ec2624134","Cebus imitator",,"Panamanian White-faced Capuchin","1.0",,"ID ?= Larry","{e3de4e1c-a9fd-4ee7-a7f9-8c5a59eceaba,1c195a48-cd0b-4154-b2f9-5ace11249d4b}","infant",,"false","Zoë Goldsborough","38bfcb1c-5418-4441-87db-d73c50759252","""2017:05:08 17:30:21""","CEBUS-02-R1__2017-05-08__17-30-21(1).JPG",,,"false",,"3b6d952c-52f7-43b0-a72b-5876e1d2ddab","2017-03-28 10:29:28","2017-06-05 11:33:23",,"0e0508af-d3dc-4be6-9806-dbdba5ec3368","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior","{45278b31-75c5-4bdd-a995-cbcd8b9b2708}","CEBUS-02","7.27083","-81.82112","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/38bfcb1c-5418-4441-87db-d73c50759252"
"37bed016-fb5a-438c-882c-bd9e14d82530","Cebus imitator",,"Panamanian White-faced Capuchin","1.0",,,"{c70786e0-c28c-4817-a1f3-9259be1134d1,fb01d2fc-cc65-43a0-9a72-b3fdc7fe21ff}",,,"false","Zoë Goldsborough","11c9204f-cf27-4f0b-97af-40cfe63361a2","""2017:05:08 17:17:30""","CEBUS-02-R1__2017-05-08__17-17-30(19).JPG",,,"false",,"3b6d952c-52f7-43b0-a72b-5876e1d2ddab","2017-03-28 10:29:28","2017-06-05 11:33:23",,"0e0508af-d3dc-4be6-9806-dbdba5ec3368","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior","{45278b31-75c5-4bdd-a995-cbcd8b9b2708}","CEBUS-02","7.27083","-81.82112","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/11c9204f-cf27-4f0b-97af-40cfe63361a2"
"f4cee9bb-3f05-46d7-a598-f8ea1fe52b7a","Cebus imitator",,"Panamanian White-faced Capuchin","1.0",,,"{e3de4e1c-a9fd-4ee7-a7f9-8c5a59eceaba}","infant",,"false","Zoë Goldsborough","b64421f3-addb-4413-ad4b-c487f0750158","""2017:05:09 06:50:29""","CEBUS-02-R1__2017-05-09__06-50-29(1).JPG",,,"false",,"3b6d952c-52f7-43b0-a72b-5876e1d2ddab","2017-03-28 10:29:28","2017-06-05 11:33:23",,"0e0508af-d3dc-4be6-9806-dbdba5ec3368","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior","{45278b31-75c5-4bdd-a995-cbcd8b9b2708}","CEBUS-02","7.27083","-81.82112","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/b64421f3-addb-4413-ad4b-c487f0750158"
"2c6aa558-35eb-4bf3-ba71-c97ddc664a5c","Cebus imitator",,"Panamanian White-faced Capuchin","1.0",,,"{dba9077d-34e3-4af2-acc6-1527fde197b1}","infant",,"false","Zoë Goldsborough","b9307146-47d9-476c-80e1-fa6365e597d1","""2017:05:11 17:02:39""","CEBUS-02-R1__2017-05-11__17-02-39(1).JPG",,,"false",,"3b6d952c-52f7-43b0-a72b-5876e1d2ddab","2017-03-28 10:29:28","2017-06-05 11:33:23",,"0e0508af-d3dc-4be6-9806-dbdba5ec3368","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior","{45278b31-75c5-4bdd-a995-cbcd8b9b2708}","CEBUS-02","7.27083","-81.82112","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/b9307146-47d9-476c-80e1-fa6365e597d1"
"ffceb2bc-87e7-4bb0-9abd-4ddf0bfab614","Cebus imitator",,"Panamanian White-faced Capuchin","1.0",,,"{dba9077d-34e3-4af2-acc6-1527fde197b1}",,,"false","Zoë Goldsborough","22f9bf7a-d3ae-4997-b508-ecf1c71cb015","""2017:05:12 17:39:34""","CEBUS-02-R1__2017-05-12__17-39-34(1).JPG",,,"false",,"3b6d952c-52f7-43b0-a72b-5876e1d2ddab","2017-03-28 10:29:28","2017-06-05 11:33:23",,"0e0508af-d3dc-4be6-9806-dbdba5ec3368","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior","{45278b31-75c5-4bdd-a995-cbcd8b9b2708}","CEBUS-02","7.27083","-81.82112","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/22f9bf7a-d3ae-4997-b508-ecf1c71cb015"
