Observation id	Observation date	Description	Media file	Total length	FPS	Coder ID	Subject	Behavior	Behavioral category	Modifiers	Behavior type	Start (s)	Stop (s)	Duration (s)	Comment start	Comment stop
EXP-ANV-01-R11__2022-04-25__12-50-13	2023-01-04 14:09:00		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__12-50-13.MP4	60.890	29.97	ZG	ZIM	pound	Behavior	stand|None|None	POINT	14.915	14.915	NA		
EXP-ANV-01-R11__2022-04-25__13-38-34	2023-01-04 16:08:01		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__13-38-34.MP4	60.860	29.97	ZG	MIC	pound	Behavior	stand|None|None	POINT	14.948	14.948	NA		
EXP-ANV-01-R11__2022-04-22__17-27-53	2023-01-03 16:22:25		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-22__17-27-53.MP4	60.860	29.97	ZG	BAL	seqend	Sequence info	opened|None|None|None	POINT	15.078	15.078	NA		
EXP-ANV-01-R11__2022-03-20__11-44-23	2023-01-03 12:31:20		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-20__11-44-23.MP4	60.860	29.97	ZG	SPT	pound	Behavior	stand|None|None	POINT	15.082	15.082	NA		
EXP-ANV-01-R11__2022-03-25__18-14-02	2023-01-03 15:43:41		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-25__18-14-02.MP4	60.860	29.97	ZG	juvenileunknown	reposit	Behavior	item	POINT	15.115	15.115	NA		
EXP-ANV-01-R11__2022-03-17__07-56-49	2023-01-03 11:18:29		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-17__07-56-49.MP4	60.890	29.97	ZG	PEA	pound	Behavior	stand|1foot|None	POINT	15.382	15.382	NA		
EXP-ANV-01-R11__2022-03-16__17-25-55	2023-01-02 16:14:31		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__17-25-55.MP4	60.890	29.97	ZG	BAL	pound	Behavior	crouch|None|overhead	POINT	15.616	15.616	NA		
EXP-ANV-01-R11__2022-03-17__07-50-54	2023-01-02 16:47:51		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-17__07-50-54.MP4	60.860	29.97	ZG	PEA	pound	Behavior	stand|None|overhead	POINT	15.749	15.749	NA		
EXP-ANV-01-R11__2022-03-17__07-50-54	2023-01-02 16:47:51		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-17__07-50-54.MP4	60.860	29.97	ZG	PEA	misstrike	Behavior	itemflies	POINT	15.749	15.749	NA		
EXP-ANV-01-R11__2022-03-17__08-36-56	2023-01-03 11:28:06		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-17__08-36-56.MP4	60.860	29.97	ZG	PEA	pound	Behavior	stand|None|None	POINT	15.749	15.749	NA		
