Observation id	Observation date	Description	Media file	Total length	FPS	Coder ID	Subject	Behavior	Behavioral category	Modifiers	Behavior type	Start (s)	Stop (s)	Duration (s)	Comment start	Comment stop
EXP-ANV-01-R11__2022-02-23__18-18-03	2023-01-02 13:00:58		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-02-23__18-18-03.MP4	60.890	29.97	ZG	juvenileunknown	seqstart	Sequence info	halloweencrab	POINT	0.000	0.000	NA	already eating before tool use	
EXP-ANV-01-R11__2022-03-16__17-01-28	2023-01-02 13:53:15		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__17-01-28.MP4	60.860	29.97	ZG	BAL	pound	Behavior	crouch|None|None	POINT	0.000	0.000	NA	infered from photo before video	
EXP-ANV-01-R11__2022-03-16__17-03-12	2023-01-02 13:59:25		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__17-03-12.MP4	60.860	29.97	ZG	BAL	seqstart	Sequence info	almendragreen	POINT	0.000	0.000	NA	face-shot	
EXP-ANV-01-R11__2022-03-16__17-04-22	2023-01-02 14:06:46		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__17-04-22.MP4	60.890	29.97	ZG	BAL	seqstart	Sequence info	almendragreen	POINT	0.000	0.000	NA		
EXP-ANV-01-R11__2022-03-16__17-07-22	2023-01-02 15:00:34		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__17-07-22.MP4	60.890	29.97	ZG	BAL	seqend	Sequence info	relocated|noscrounging|fulldisp|noattention	POINT	0.000	0.000	NA	BAL is displaced by adult male	
EXP-ANV-01-R11__2022-03-17__07-50-54	2023-01-02 16:47:51		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-17__07-50-54.MP4	60.860	29.97	ZG	PEA	seqstart	Sequence info	Unknown	POINT	0.000	0.000	NA	face-shot	
EXP-ANV-01-R11__2022-03-17__07-56-49	2023-01-03 11:18:29		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-17__07-56-49.MP4	60.890	29.97	ZG	PEA	seqstart	Sequence info	almendraunknown	POINT	0.000	0.000	NA	red	
EXP-ANV-01-R11__2022-03-17__08-36-56	2023-01-03 11:28:06		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-17__08-36-56.MP4	60.860	29.97	ZG	PEA	seqstart	Sequence info	almendrabrown	POINT	0.000	0.000	NA		
EXP-ANV-01-R11__2022-03-17__08-36-56	2023-01-03 11:28:06		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-17__08-36-56.MP4	60.860	29.97	ZG	PEA	hammerstone	Sequence info	inhand|None|None|e_onanvil	POINT	0.000	0.000	NA	DWA_A	
EXP-ANV-01-R11__2022-03-17__18-13-45	2023-01-03 11:42:19		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-17__18-13-45.MP4	60.890	29.97	ZG	PEA	seqstart	Sequence info	almendragreen	POINT	0.000	0.000	NA		
EXP-ANV-01-R11__2022-03-20__11-43-12	2023-01-03 12:08:56		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-20__11-43-12.MP4	60.860	29.97	ZG	SPT	seqstart	Sequence info	almendrabrown	POINT	0.000	0.000	NA		
EXP-ANV-01-R11__2022-03-21__06-51-27	2023-01-03 12:42:08		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-21__06-51-27.MP4	60.890	29.97	ZG	juvenileunknown	seqstart	Sequence info	almendrabrown	POINT	0.000	0.000	NA		
EXP-ANV-01-R11__2022-03-22__07-08-14	2023-01-03 12:46:09		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-22__07-08-14.MP4	60.890	29.97	ZG	juvenileunknown	seqstart	Sequence info	almendrabrown	POINT	0.000	0.000	NA		
EXP-ANV-01-R11__2022-03-22__07-09-49	2023-01-03 13:50:56		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-22__07-09-49.MP4	60.890	29.97	ZG	juvenileunknown	seqstart	Sequence info	almendraunknown	POINT	0.000	0.000	NA	red	
EXP-ANV-01-R11__2022-03-22__07-11-16	2023-01-03 13:59:38		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-22__07-11-16.MP4	60.830	29.97	ZG	juvenileunknown	seqstart	Sequence info	almendrabrown	POINT	0.000	0.000	NA		
EXP-ANV-01-R11__2022-03-25__17-48-46	2023-01-03 14:45:52		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-25__17-48-46.MP4	60.860	29.97	ZG	adultmale	seqstart	Sequence info	almendrabrown	POINT	0.000	0.000	NA	ID ?= ABE or CYS	
EXP-ANV-01-R11__2022-03-25__17-56-18	2023-01-03 15:09:41		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-25__17-56-18.MP4	60.830	29.97	ZG	BAL	seqstart	Sequence info	almendrabrown	POINT	0.000	0.000	NA		
EXP-ANV-01-R11__2022-03-25__17-59-11	2023-01-03 15:18:51		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-25__17-59-11.MP4	60.860	29.97	ZG	BAL	seqstart	Sequence info	almendrabrown	POINT	0.000	0.000	NA		
EXP-ANV-01-R11__2022-03-25__18-02-24	2023-01-03 15:28:37		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-25__18-02-24.MP4	60.830	29.97	ZG	juvenileunknown	seqstart	Sequence info	almendrabrown	POINT	0.000	0.000	NA		
EXP-ANV-01-R11__2022-03-25__18-14-02	2023-01-03 15:43:41		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-25__18-14-02.MP4	60.860	29.97	ZG	juvenileunknown	seqstart	Sequence info	almendrabrown	POINT	0.000	0.000	NA		
EXP-ANV-01-R11__2022-03-27__17-56-38	2023-01-03 16:03:44		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-27__17-56-38.MP4	60.860	29.97	ZG	juvenileunknown	seqstart	Sequence info	almendrabrown	POINT	0.000	0.000	NA		
EXP-ANV-01-R11__2022-04-22__17-30-24	2023-01-03 16:28:04		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-22__17-30-24.MP4	60.890	29.97	ZG	BAL	seqstart	Sequence info	almendrabrown	POINT	0.000	0.000	NA		
EXP-ANV-01-R11__2022-04-25__12-41-20	2023-01-04 12:59:04		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__12-41-20.MP4	60.861	29.97	ZG	BAL	seqstart	Sequence info	almendrabrown	POINT	0.000	0.000	NA		
EXP-ANV-01-R11__2022-04-25__13-38-34	2023-01-04 16:08:01		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__13-38-34.MP4	60.860	29.97	ZG	MIC	seqstart	Sequence info	almendrabrown	POINT	0.000	0.000	NA	face-shot	
EXP-ANV-01-R11__2022-03-16__17-03-12	2023-01-02 13:59:25		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__17-03-12.MP4	60.860	29.97	ZG	BAL	hammerstone	Sequence info	inhand|None|None|e_offanvilwalk	POINT	0.001	0.001	NA	DWA_A	
EXP-ANV-01-R11__2022-03-16__17-04-22	2023-01-02 14:06:46		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__17-04-22.MP4	60.890	29.97	ZG	BAL	hammerstone	Sequence info	inhand|None|None|e_onanvil	POINT	0.001	0.001	NA	"DWA_A
"	
EXP-ANV-01-R11__2022-03-16__17-07-22	2023-01-02 15:00:34		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__17-07-22.MP4	60.890	29.97	ZG	TOM	seqstart	Sequence info	almendragreen	POINT	0.001	0.001	NA		
EXP-ANV-01-R11__2022-03-17__07-50-54	2023-01-02 16:47:51		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-17__07-50-54.MP4	60.860	29.97	ZG	PEA	hammerstone	Sequence info	onanvil|None|None|e_onanvil	POINT	0.001	0.001	NA	DWA_A	
EXP-ANV-01-R11__2022-03-17__07-56-49	2023-01-03 11:18:29		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-17__07-56-49.MP4	60.890	29.97	ZG	PEA	hammerstone	Sequence info	inhand|None|None|e_onanvil	POINT	0.001	0.001	NA	DWA_A	
EXP-ANV-01-R11__2022-03-17__18-13-45	2023-01-03 11:42:19		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-17__18-13-45.MP4	60.890	29.97	ZG	PEA	hammerstone	Sequence info	inhand|None|None|e_onanvil	POINT	0.001	0.001	NA	DWA_A	
EXP-ANV-01-R11__2022-03-20__11-43-12	2023-01-03 12:08:56		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-20__11-43-12.MP4	60.860	29.97	ZG	SPT	hammerstone	Sequence info	onanvil|None|None|e_onanvil	POINT	0.001	0.001	NA	DWA_A	
EXP-ANV-01-R11__2022-03-21__06-51-27	2023-01-03 12:42:08		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-21__06-51-27.MP4	60.890	29.97	ZG	juvenileunknown	hammerstone	Sequence info	inhand|None|None|e_onanvil	POINT	0.001	0.001	NA	DWA_A	
EXP-ANV-01-R11__2022-03-22__07-08-14	2023-01-03 12:46:09		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-22__07-08-14.MP4	60.890	29.97	ZG	juvenileunknown	hammerstone	Sequence info	inhand|None|None|e_onanvil	POINT	0.001	0.001	NA	DWA_A	
EXP-ANV-01-R11__2022-03-22__07-09-49	2023-01-03 13:50:56		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-22__07-09-49.MP4	60.890	29.97	ZG	juvenileunknown	hammerstone	Sequence info	onanvil|None|None|e_onanvil	POINT	0.001	0.001	NA	DWA_A	
EXP-ANV-01-R11__2022-03-22__07-11-16	2023-01-03 13:59:38		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-22__07-11-16.MP4	60.830	29.97	ZG	juvenileunknown	hammerstone	Sequence info	inhand|None|None|e_onanvil	POINT	0.001	0.001	NA	DWA_A	
EXP-ANV-01-R11__2022-03-25__17-48-46	2023-01-03 14:45:52		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-25__17-48-46.MP4	60.860	29.97	ZG	adultmale	hammerstone	Sequence info	offanvilreach|None|None|e_onanvil	POINT	0.001	0.001	NA	DWA_A	
EXP-ANV-01-R11__2022-03-25__17-56-18	2023-01-03 15:09:41		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-25__17-56-18.MP4	60.830	29.97	ZG	BAL	hammerstone	Sequence info	onanvil|None|None|e_onanvil	POINT	0.001	0.001	NA	DWA_A	
EXP-ANV-01-R11__2022-03-25__17-59-11	2023-01-03 15:18:51		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-25__17-59-11.MP4	60.860	29.97	ZG	BAL	hammerstone	Sequence info	offanvilreach|None|None|e_offanvilwalk	POINT	0.001	0.001	NA	DWA_A	
EXP-ANV-01-R11__2022-03-25__18-02-24	2023-01-03 15:28:37		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-25__18-02-24.MP4	60.830	29.97	ZG	juvenileunknown	hammerstone	Sequence info	inhand|None|None|e_onanvil	POINT	0.001	0.001	NA	DWA_A	
EXP-ANV-01-R11__2022-03-25__18-14-02	2023-01-03 15:43:41		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-25__18-14-02.MP4	60.860	29.97	ZG	juvenileunknown	hammerstone	Sequence info	onanvil|None|None|e_offanvilreach	POINT	0.001	0.001	NA	DWA_A	
EXP-ANV-01-R11__2022-03-27__17-56-38	2023-01-03 16:03:44		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-27__17-56-38.MP4	60.860	29.97	ZG	juvenileunknown	hammerstone	Sequence info	inhand|None|None|e_offanvilreach	POINT	0.001	0.001	NA	DWA_A	
EXP-ANV-01-R11__2022-04-22__17-30-24	2023-01-03 16:28:04		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-22__17-30-24.MP4	60.890	29.97	ZG	BAL	hammerstone	Sequence info	offanvilreach|None|None|e_onanvil	POINT	0.001	0.001	NA	DWA_A	
EXP-ANV-01-R11__2022-04-25__12-41-20	2023-01-04 12:59:04		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__12-41-20.MP4	60.861	29.97	ZG	BAL	hammerstone	Sequence info	inhand|None|None|e_onanvil	POINT	0.001	0.001	NA	DWA_B	
EXP-ANV-01-R11__2022-03-16__17-07-22	2023-01-02 15:00:34		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__17-07-22.MP4	60.890	29.97	ZG	TOM	hammerstone	Sequence info	inhand|None|None|e_onanvil	POINT	0.002	0.002	NA	DWA_A	
EXP-ANV-01-R11__2022-03-16__17-22-57	2023-01-02 16:32:14		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__17-22-57.MP4	60.890	29.97	ZG	BAL	seqstart	Sequence info	almendraunknown	POINT	0.033	0.033	NA	red	
EXP-ANV-01-R11__2022-04-25__12-50-13	2023-01-04 14:09:00		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__12-50-13.MP4	60.890	29.97	ZG	ZIM	seqstart	Sequence info	almendrabrown	POINT	0.033	0.033	NA		
EXP-ANV-01-R11__2022-04-25__13-27-27	2023-01-04 15:20:06		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__13-27-27.MP4	60.890	29.97	ZG	juvenileunknown	seqstart	Sequence info	almendrabrown	POINT	0.033	0.033	NA		
EXP-ANV-01-R11__2022-03-16__17-22-57	2023-01-02 16:32:14		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__17-22-57.MP4	60.890	29.97	ZG	BAL	hammerstone	Sequence info	inhand|None|None|e_onanvil	POINT	0.034	0.034	NA	DWA_A	
EXP-ANV-01-R11__2022-04-25__12-50-13	2023-01-04 14:09:00		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__12-50-13.MP4	60.890	29.97	ZG	ZIM	hammerstone	Sequence info	inhand|None|None|e_onanvil	POINT	0.034	0.034	NA	"DWA_A
"	
EXP-ANV-01-R11__2022-04-25__13-27-27	2023-01-04 15:20:06		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__13-27-27.MP4	60.890	29.97	ZG	juvenileunknown	hammerstone	Sequence info	inhand|None|None|e_offanvilwalk	POINT	0.034	0.034	NA	DWA_A	
EXP-ANV-01-R11__2022-03-16__17-12-40	2023-01-02 16:24:11		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__17-12-40.MP4	60.930	29.97	ZG	TOM	seqstart	Sequence info	almendraunknown	POINT	0.060	0.060	NA		
EXP-ANV-01-R11__2022-03-16__17-12-40	2023-01-02 16:24:11		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__17-12-40.MP4	60.930	29.97	ZG	TOM	hammerstone	Sequence info	inhand|None|None|e_onanvil	POINT	0.062	0.062	NA	DWA_A	
EXP-ANV-01-R11__2022-04-25__12-43-56	2023-01-04 13:22:39		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__12-43-56.MP4	60.860	29.97	ZG	BAL	pound	Behavior	crouch|None|None	POINT	0.133	0.133	NA		
EXP-ANV-01-R11__2022-04-25__12-50-13	2023-01-04 14:09:00		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__12-50-13.MP4	60.890	29.97	ZG	ZIM	pound	Behavior	stand|None|None	POINT	0.334	0.334	NA		
EXP-ANV-01-R11__2022-04-25__12-50-13	2023-01-04 14:09:00		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__12-50-13.MP4	60.890	29.97	ZG	ZIM	misstrike	Behavior	itemflies	POINT	0.334	0.334	NA		
EXP-ANV-01-R11__2022-04-25__13-27-27	2023-01-04 15:20:06		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__13-27-27.MP4	60.890	29.97	ZG	juvenileunknown	pound	Behavior	stand|None|None	POINT	0.367	0.367	NA	while walking	
EXP-ANV-01-R11__2022-02-23__18-21-15	2023-01-02 13:20:07		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-02-23__18-21-15.MP4	60.690	29.97	ZG	juvenileunknown	seqstart	Sequence info	almendrabrown	POINT	0.401	0.401	NA		
EXP-ANV-01-R11__2022-04-25__12-51-45	2023-01-04 14:13:58		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__12-51-45.MP4	60.890	29.97	ZG	BAL	seqstart	Sequence info	almendrabrown	POINT	0.401	0.401	NA		
EXP-ANV-01-R11__2022-04-25__12-51-45	2023-01-04 14:13:58		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__12-51-45.MP4	60.890	29.97	ZG	BAL	hammerstone	Sequence info	onanvil|None|None|e_offanvilwalk	POINT	0.402	0.402	NA	DWA_A	
EXP-ANV-01-R11__2022-03-17__18-13-45	2023-01-03 11:42:19		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-17__18-13-45.MP4	60.890	29.97	ZG	PEA	pound	Behavior	stand|None|None	POINT	0.434	0.434	NA		
EXP-ANV-01-R11__2022-02-23__18-21-15	2023-01-02 13:20:07		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-02-23__18-21-15.MP4	60.690	29.97	ZG	juvenileunknown	hammerstone	Sequence info	inhand|None|2|e_onanvil	POINT	0.500	0.500	NA	LCH	
EXP-ANV-01-R11__2022-03-17__07-56-49	2023-01-03 11:18:29		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-17__07-56-49.MP4	60.890	29.97	ZG	PEA	pound	Behavior	stand|1foot|overhead	POINT	0.501	0.501	NA		
EXP-ANV-01-R11__2022-04-25__12-41-20	2023-01-04 12:59:04		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__12-41-20.MP4	60.861	29.97	ZG	BAL	pound	Behavior	crouch|None|None	POINT	0.534	0.534	NA		
EXP-ANV-01-R11__2022-03-16__17-04-22	2023-01-02 14:06:46		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__17-04-22.MP4	60.890	29.97	ZG	BAL	pound	Behavior	crouch|1foot|None	POINT	0.567	0.567	NA		
EXP-ANV-01-R11__2022-03-22__07-11-16	2023-01-03 13:59:38		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-22__07-11-16.MP4	60.830	29.97	ZG	juvenileunknown	pound	Behavior	stand|None|None	POINT	0.567	0.567	NA		
EXP-ANV-01-R11__2022-03-22__07-11-16	2023-01-03 13:59:38		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-22__07-11-16.MP4	60.830	29.97	ZG	juvenileunknown	misstrike	Behavior	itemflies	POINT	0.567	0.567	NA		
EXP-ANV-01-R11__2022-02-23__18-21-15	2023-01-02 13:20:07		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-02-23__18-21-15.MP4	60.690	29.97	ZG	juvenileunknown	pound	Behavior	stand|None|None	POINT	0.601	0.601	NA		
EXP-ANV-01-R11__2022-03-16__17-04-22	2023-01-02 14:06:46		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__17-04-22.MP4	60.890	29.97	ZG	BAL	misstrike	Behavior	itemflies	POINT	0.601	0.601	NA		
EXP-ANV-01-R11__2022-04-25__13-38-34	2023-01-04 16:08:01		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__13-38-34.MP4	60.860	29.97	ZG	MIC	hammerstone	Sequence info	onanvil|None|None|e_onanvil	POINT	0.651	0.651	NA	DWA_A	
EXP-ANV-01-R11__2022-03-25__18-08-10	2023-01-03 15:32:27		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-25__18-08-10.MP4	60.690	29.97	ZG	PEA	seqstart	Sequence info	almendrabrown	POINT	0.653	0.653	NA		
EXP-ANV-01-R11__2022-03-25__18-08-10	2023-01-03 15:32:27		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-25__18-08-10.MP4	60.690	29.97	ZG	PEA	hammerstone	Sequence info	inhand|None|None|e_offanvilreach	POINT	0.654	0.654	NA	DWA_A	
EXP-ANV-01-R11__2022-03-21__06-51-27	2023-01-03 12:42:08		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-21__06-51-27.MP4	60.890	29.97	ZG	juvenileunknown	pound	Behavior	stand|None|None	POINT	0.734	0.734	NA		
EXP-ANV-01-R11__2022-03-22__07-08-14	2023-01-03 12:46:09		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-22__07-08-14.MP4	60.890	29.97	ZG	juvenileunknown	pound	Behavior	stand|1foot|overhead	POINT	0.734	0.734	NA		
EXP-ANV-01-R11__2022-03-25__17-59-11	2023-01-03 15:18:51		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-25__17-59-11.MP4	60.860	29.97	ZG	BAL	pound	Behavior	crouch|None|None	POINT	0.834	0.834	NA		
EXP-ANV-01-R11__2022-02-23__18-18-03	2023-01-02 13:00:58		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-02-23__18-18-03.MP4	60.890	29.97	ZG	juvenileunknown	hammerstone	Sequence info	onanvil|None|2|None	POINT	0.902	0.902	NA	LCH	
EXP-ANV-01-R11__2022-04-22__17-30-24	2023-01-03 16:28:04		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-22__17-30-24.MP4	60.890	29.97	ZG	BAL	pound	Behavior	crouch|None|None	POINT	1.001	1.001	NA		
EXP-ANV-01-R11__2022-03-16__17-22-57	2023-01-02 16:32:14		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__17-22-57.MP4	60.890	29.97	ZG	BAL	reposit	Behavior	item	POINT	1.101	1.101	NA		
EXP-ANV-01-R11__2022-03-17__08-36-56	2023-01-03 11:28:06		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-17__08-36-56.MP4	60.860	29.97	ZG	PEA	reposit	Behavior	hammer	POINT	1.101	1.101	NA		
EXP-ANV-01-R11__2022-04-25__13-27-27	2023-01-04 15:20:06		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__13-27-27.MP4	60.890	29.97	ZG	juvenileunknown	reposit	Behavior	item	POINT	1.502	1.502	NA		
EXP-ANV-01-R11__2022-03-22__07-09-49	2023-01-03 13:50:56		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-22__07-09-49.MP4	60.890	29.97	ZG	juvenileunknown	pound	Behavior	stand|None|None	POINT	1.602	1.602	NA		
EXP-ANV-01-R11__2022-04-22__17-27-53	2023-01-03 16:22:25		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-22__17-27-53.MP4	60.860	29.97	ZG	BAL	seqstart	Sequence info	almendrabrown	POINT	1.652	1.652	NA		
EXP-ANV-01-R11__2022-04-22__17-27-53	2023-01-03 16:22:25		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-22__17-27-53.MP4	60.860	29.97	ZG	BAL	hammerstone	Sequence info	onanvil|None|None|e_offanvilwalk	POINT	1.653	1.653	NA	DWA_A	
EXP-ANV-01-R11__2022-03-25__18-08-10	2023-01-03 15:32:27		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-25__18-08-10.MP4	60.690	29.97	ZG	PEA	pound	Behavior	stand|None|None	POINT	1.702	1.702	NA		
EXP-ANV-01-R11__2022-03-25__17-59-11	2023-01-03 15:18:51		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-25__17-59-11.MP4	60.860	29.97	ZG	BAL	reposit	Behavior	item	POINT	1.869	1.869	NA		
EXP-ANV-01-R11__2022-03-25__17-47-34	2023-01-03 14:39:52		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-25__17-47-34.MP4	60.860	29.97	ZG	SMG	seqstart	Sequence info	almendrabrown	POINT	1.903	1.903	NA		
EXP-ANV-01-R11__2022-03-25__17-47-34	2023-01-03 14:39:52		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-25__17-47-34.MP4	60.860	29.97	ZG	SMG	hammerstone	Sequence info	onanvil|None|None|e_onanvil	POINT	1.904	1.904	NA	DWA_A	
